# system | Method | VMC_______________ | Var.__________________________________| %Ecorr._| FN-FCIQMC__________________________ | %Ecorr._| %Retrieved__
naphth.    HF      -383.21942854941540   8.931633763440E-02 1.096530112991E-04            -383.337874366112 4.730590454436e-06 
           SJ      -383.3451469806972    3.788815031579E-03 2.876005885215E-05            -383.348923965409 6.186674433617e-07
           SJ2     -383.3462287606463    3.146065884602E-03 1.531043261093E-05            -383.349226859141 5.671656813483e-07
           SJ3     -383.3471625321177    2.469545388750E-03 2.225916062066E-05            -383.349429086029 4.578907265449e-07
           SJ4     -383.3476319728799    2.197356069294E-03 2.336341577464E-05            -383.349552706735 4.195340652369e-07
           SJ5     -383.34787485258818   1.845880445051E-03 1.699922865256E-05            -383.349536778225 3.863121128910e-07
           SJ6     -383.3479370507911    1.885801830513E-03 1.979470425318E-05            -383.349597943199 4.017785643412e-07
           SJ10    -383.3487420514979    1.291486454396E-03 2.460485967397E-05            -383.349764799655 2.922257883116e-07
           SJB     -383.3494180085532    6.545033008028E-04 7.865922951627E-06            -383.349932384354 1.849280197598e-07
           -[new]  -383.34942473721406   6.472159316391E-04 3.173415385390E-06             [calculate]
           SJB2    -383.3496110345631    5.129962798521E-04 4.766180443939E-06            -383.350010197413 1.475366076677e-07
           SJB3    -383.3497563083653    3.560544978681E-04 1.146995794259E-05            -383.350038738174 1.428876650173e-07
           SJB4    -383.3498901143619    2.328464440586E-04 2.386617279239E-06            -383.350078576715 1.420400623069e-07
           SJB5    -383.3499083345816    2.242654728651E-04 4.932099915927E-06            -383.350084727086 1.085481242504e-07
           SJB6    -383.3499462957358    1.985511681736E-04 3.187256348772E-06            -383.350088058882 9.515244407443e-08
           SJB10   -383.35001567085305   1.217527261206E-04 1.029279005532E-06            -383.350109809170 7.885268060423e-08
                                       
-- benchmark = -383.3501370547
