# Sign Structure Analysis | FCI Wave Function Normalization____________________________________________________________________________________________________________________________________________________________________________________
# 1. Ansatz | 2. L[0] | 3. L[1] | 4. L[2] | 5. S[0] | 6. S[0](c) | 7. S[0](i) | 8. S[1] | 9. S[1](c) | 10. S[1](i) | 11. S[2] | 12. S[2](c) | 13. S[2](i) | 14. e[0](c) | 15. e[0](i) | 16. e[1](c) | 17. e[1](i) | 18. e[2](c) | 19. e[2](i) |
 
 00-sHF 1.8707482993197279E-002 6.2525709448931681E-004 1.8310307839445347E-005 3.9429449926587847 3.1057032651403351 0.83724172751844905 0.49486307657670775 0.49186822733283297 2.9948492438718237E-003 0.36491209531201740 0.36486780494338800 4.4290368629043812E-005 3.1649107797270659 44.754375980077093 0.49217596384596435 4.7897885050275013 0.36487448590754740 2.4188762426828458
 01-sj1 1.8707482993197279E-002 6.2525709448931681E-004 1.8310307839445347E-005 1.3613580669176870 0.98770082645525792 0.37365724046242949 0.10517509926029978 0.10277779715815787 2.3973021021418120E-003 6.6529264481843833E-002 6.6481158381369920E-002 4.8106100473795038E-005 1.0065304782594311 19.973677944718958 0.10284209991073914 3.8341061993064240 6.6482375694134718E-002 2.6272687982974001
 02-sj2 2.7147896195515244E-002 1.0840800772695149E-003 3.1774881436170618E-005 0.89756937179493590 0.72994982196692504 0.16761954982801069 9.1805407632894215E-002 8.9375023872366843E-002 2.4303837605270228E-003 5.5694709457893912E-002 5.5644589363934314E-002 5.0120093959493832E-005 0.75031941557441906 6.1743108423886257 8.9472018705318609E-002 2.2418858269662687 5.5646357520346801E-002 1.5773495193105624
 03-sj3 2.9667422524565383E-002 1.1022105679244644E-003 3.1185816565659078E-005 0.84020819594583041 0.68551444348842727 0.15469375245740258 8.2135282158801962E-002 7.9824927803747517E-002 2.3103543550545610E-003 4.4803961187535185E-002 4.4755157595508764E-002 4.8803592026467150E-005 0.70647369716470432 5.2142632993921936 7.9913008766524948E-002 2.0961097836369973 4.4756553365172064E-002 1.5649291056309316
 04-sj4 3.8548752834467119E-002 1.2456334664649206E-003 3.5233938885442909E-005 0.89033022491765645 0.71977868973137638 0.17055153518627814 7.2572030161989903E-002 7.0249110427885356E-002 2.3229197341047246E-003 3.7418216911868918E-002 3.7369733299711057E-002 4.8483612157884262E-005 0.74863774097060609 4.4243074715969799 7.0336724205477458E-002 1.8648501317944819 3.7371050029003719E-002 1.3760485966533682
 05-sj5 4.3902746283698661E-002 1.5235322520347923E-003 4.7503432415021225E-005 0.93018787373728629 0.68323258630700567 0.24695528743028092 7.2529447891328633E-002 6.9554444242079905E-002 2.9750036492491678E-003 3.5956951087276999E-002 3.5886008966588216E-002 7.0942120688958487E-005 0.71460574083997774 5.6250532901623238 6.9660574373834161E-002 1.9527014576001431 3.5887713756173119E-002 1.4934104144130360
 06-sj6 4.7115142353237591E-002 1.2931198620024899E-003 3.3301389299398292E-005 0.76487994639554946 0.52538163700451024 0.23949830939103944 6.9734191566920400E-002 6.7229167169819942E-002 2.5050243971000761E-003 3.5370070508196558E-002 3.5321646766022612E-002 4.8423742173877226E-005 0.55135899451901138 5.0832555613531314 6.7316215104607044E-002 1.9371942777376139 3.5322823065104612E-002 1.4541057653337055
 0A-sj10 4.2233560090702948E-002 9.9843507747708117E-004 2.0530827121781976E-005 0.94163727214803405 0.52384431553838962 0.41779295660964494 5.3970389701799897E-002 5.1995524188631202E-002 1.9748655131686952E-003 2.5453403143271030E-002 2.5423563555781056E-002 2.9839587489886932E-005 0.54694369494508388 9.8924399390525330 5.2047490228570130E-002 1.9779608686815471 2.5424085533285859E-002 1.4534040598018050
 11-sjb1 1.8455530360292266E-002 5.6003916697772822E-004 1.6872839999106392E-005 0.55917259488833615 0.27249536775372019 0.28667722713461558 4.1714891739904419E-002 4.0575501415789895E-002 1.1393903241146259E-003 1.7149062856868375E-002 1.7123924282825918E-002 2.5138574042465189E-005 0.27761897314111927 15.533404976072209 4.0598238019190852E-002 2.0344832849162806 1.7124213216935635E-002 1.4898839818190988
 12-sjb2 1.0991433610481230E-002 1.4737772876124790E-004 1.1958422891899243E-006 0.48068235043067958 0.28085244656969771 0.19982990386098182 3.3877913104756768E-002 3.3523515581799154E-002 3.5439752295754419E-004 1.4508988623314272E-002 1.4506804590879318E-002 2.1840324349603841E-006 0.28397372491421335 18.180513201701704 3.3528456929630336E-002 2.4046884555513035 1.4506821938750485E-002 1.8263549087562958
