-1.0000000000000000 1 2 3 4 5 6
0.70066595800453879E-001 1 2 3 4 7 8
0.87145352514732752E-001 1 2 5 6 9 10
-0.39945728248924929E-001 1 2 4 5 7 10
-0.39945728248924929E-001 1 2 3 6 8 9
