-1.0000000000000000 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0.11730661994363401 1 2 3 4 5 6 7 8 9 10 11 12 15 16
0.97961222612314394E-001 1 2 3 4 5 6 7 8 9 10 13 14 17 18
-0.70368953348071708E-001 1 2 3 4 5 6 7 8 9 10 12 13 15 18
-0.70368953348071708E-001 1 2 3 4 5 6 7 8 9 10 11 14 16 17
0.20354799648029279E-001 1 2 3 4 5 6 7 8 9 10 11 13 16 18
0.20354799648029279E-001 1 2 3 4 5 6 7 8 9 10 12 14 15 17
0.11208857815067960E-001 1 2 3 4 5 6 7 8 11 12 13 14 19 20
