# ./output
#run VMC Energy                 Variance                Comments
   1   1 13.011729 +/- 0.015839 131.175396 +/- 0.221165 # RUN1.wfn.casl
   1   2 -4.930371 +/- 0.008167 33.655201 +/- 0.261796  # RUN1.wfn.1.casl
   1   3 -4.929613 +/- 0.008324 33.868428 +/- 0.420408  # RUN1.wfn.2.casl
   1   4 -6.192245 +/- 0.005244 12.980824 +/- 0.112639  # RUN1.wfn.3.casl
   1   5 -7.248431 +/- 0.003089 4.082892 +/- 0.047587   # RUN1.wfn.4.casl
   1   6 -7.411405 +/- 0.002760 3.467898 +/- 0.039651   # RUN1.wfn.5.casl
   1   7 -7.515822 +/- 0.002434 2.693697 +/- 0.060807   # RUN1.wfn.6.casl
   1   8 -7.548736 +/- 0.002375 2.612159 +/- 0.051552   # RUN1.wfn.7.casl
   1   9 -7.570771 +/- 0.002252 2.384632 +/- 0.064286   # RUN1.wfn.8.casl
   1  10 -7.563126 +/- 0.002222 2.353828 +/- 0.026774   # RUN1.wfn.9.casl
   1  11 -7.566008 +/- 0.002324 2.545517 +/- 0.072706   # RUN1.wfn.10.casl
   1  12 -7.579584 +/- 0.002221 2.279727 +/- 0.042516   # RUN1.wfn.11.casl
   1  13 -7.588531 +/- 0.002150 2.208704 +/- 0.072728   # RUN1.wfn.12.casl
   1  14 -7.592193 +/- 0.002522 2.923478 +/- 0.790634   # RUN1.wfn.13.casl
   1  15 -7.600035 +/- 0.002159 2.141255 +/- 0.124071   # RUN1.wfn.14.casl
   1  16 -7.602354 +/- 0.002189 2.034707 +/- 0.030737   # RUN1.wfn.15.casl
   1  17 -7.603689 +/- 0.002180 2.070350 +/- 0.037677   # RUN1.wfn.16.casl
   1  18 -7.612199 +/- 0.002144 2.161247 +/- 0.099231   # RUN1.wfn.17.casl
   1  19 -7.608195 +/- 0.002156 2.046638 +/- 0.044413   # RUN1.wfn.18.casl
   1  20 -7.638786 +/- 0.002278 2.391830 +/- 0.102764   # RUN1.wfn.19.casl
   1  21 -7.636076 +/- 0.002279 2.362379 +/- 0.151639   # RUN1.wfn.20.casl
   1  22 -7.639598 +/- 0.002153 2.251043 +/- 0.063298   # RUN1.wfn.21.casl
