# system | Method | VMC_______________ | Var.__________________________________| %Ecorr._| FN-FCIQMC__________________________ | %Ecorr._| %Retrieved__
benzene    HF      -230.62217721126004  5.192003533888E-02 1.190568253980E-04             -230.693548321098 1.187146316385e-06 
           SJ      -230.69830602454966  1.802002770900E-03 1.483984531281E-05             -230.699965105521 1.452913649687e-07
           SJ2     -230.69876331411530  1.343670686351E-03 5.245909395231E-06             -230.700047450530 1.282319694820e-07
           SJ3     -230.6996420685683   6.088778619533E-04 4.054737783362E-06             -230.700182939093 8.210841109365e-08
	   SJ4     -230.70003416505446  2.439697565850E-04 3.918143645227E-06             -230.700239374221 5.144753382736e-08
           SJ5     -230.7000341392038   2.376580337409E-04 3.412935661156E-06             -230.700240005146 4.873407043516e-08
	   SJ6     -230.70007456904440  2.095838615828E-04 2.785649194187E-06             -230.700250199434 3.996104991410e-08
           SJ10    -230.7001839890788   1.043210552955E-04 1.130023784154E-06             -230.700268542412 2.855767211431e-08
           SJB     -230.7002159730101   1.021143803157E-04 5.943547017851E-06             -230.700266210982 1.562843813598e-08
	   SJB2    -230.7002603301184   2.525242081248E-05 6.257819124527E-07             -230.700276227674 1.130586888336e-08
	   SJB3    -230.70027154092804  8.988282645110E-06 5.128974115775E-07             -230.700278093645 1.069130438049e-08
	   SJB4    -230.70027847737103  5.189716469973E-07 6.903528995607E-09             -230.700278843375 1.945089774075e-09
	   SJB5    -230.70027847174919  6.943278986686E-07 9.313625695565E-09             -230.700278847720 2.140161306841e-09
     	   SJB6    -230.7002787195952   1.607842729791E-07 5.980544086345E-09             -230.700278865364 1.521312985346e-09
           SJB10   -230.7002784627632   3.741436275821E-07 8.976002435448E-09             -230.700278847416 2.466857409001e-09
                                                  
-- benchmark = -230.7002789                       
