TERM-2
  1 8.695988154024271
  2 8.064826206325010
  3 8.064826206325010
  4 8.740564573177840
  5 8.729327248486991
  6 8.695988154024271
  7 8.740564573177840
  8 8.729327248486991
  9 8.695988154024271
  10 8.729327248486991
  11 8.695988154024271
  12 8.064826206325010
  13 8.064826206325010
  14 8.729327248486991
TERM-02
  1 2 -.3824996872457910
  1 3 -.7880034592087110
  1 4 -.9534686951802180
  1 5 -3.127466430778780
  1 6 -1.069129185271790
  1 7 -.6584453715846670
  1 8 -2.800981142638500
  1 9 -1.336092839479800
  1 10 -3.177005261931420
  1 11 -1.443178347392730
  1 12 -.7757453548928190
  1 13 -.2722107224560310
  1 14 -2.548397306832240
  2 1 -.3814554000665380
  2 4 -.2199066571607400
  2 5 -2.418430892090360
  2 6 -.2664652216703610
  2 7 -.2686354287769240
  2 8 -1.384137293461050
  2 9 -.7882945179380750
  2 10 -2.414380104465930
  2 11 -.7742316341250161
  2 12 .1283168665361869E-02
  2 13 1.057416757352760
  2 14 -1.669199703728400
  3 1 -.7882945179380750
  3 4 -.2199066571607400
  3 5 -1.669199703728400
  3 6 -.7742316341250161
  3 7 -.2686354287769240
  3 8 -2.414380104465930
  3 9 -.3814554000665380
  3 10 -1.384137293461050
  3 11 -.2664652216703610
  3 12 1.057416757352760
  3 13 .1283168665361869E-02
  3 14 -2.418430892090360
  4 1 -.9584769624742930
  4 2 -.2242120622209320
  4 3 -.2242120622209320
  4 5 -2.682674665179750
  4 6 -.6590688003612269
  4 7 -.6045202555832800
  4 8 -2.495327884587720
  4 9 -.9584769624742930
  4 10 -2.495327884587720
  4 11 -.6590688003612269
  4 12 -.2715789129483100
  4 13 -.2715789129483100
  4 14 -2.682674665179750
  5 1 -3.127390502949490
  5 2 -2.418521614403440
  5 3 -1.671638677845130
  5 4 -2.681778149639090
  5 6 -3.175055059601990
  5 7 -2.488457540363590
  5 8 -4.832761272825570
  5 9 -2.545975312143730
  5 10 -4.280383084982230
  5 11 -2.800324797078860
  5 12 -1.324351274419520
  5 13 -2.414975120818010
  5 14 -4.805921210014130
  6 1 -1.069129185271790
  6 2 -.2722107224560310
  6 3 -.7757453548928190
  6 4 -.6584453715846670
  6 5 -3.177005261931420
  6 7 -.9534686951802180
  6 8 -2.548397306832240
  6 9 -1.443178347392730
  6 10 -3.127833592134530
  6 11 -1.336092839479800
  6 12 -.7880034592087110
  6 13 -.3824996872457910
  6 14 -2.800981142638500
  7 1 -.6590688003612269
  7 2 -.2715789129483100
  7 3 -.2715789129483100
  7 4 -.6045202555832800
  7 5 -2.495327884587720
  7 6 -.9584769624742930
  7 8 -2.682674665179750
  7 9 -.6590688003612269
