   2   3   5   7  10  11  14  16  18  19   -1.00000000000E+00  -3.83343606600E+02   3.41980798337E-02
   1   4   6   8   9  12  13  15  17  20    1.00000000000E+00  -3.83343606600E+02   3.41980798337E-02
   2   4   5   7   9  11  14  16  18  19    5.46582864936E-01  -3.83348519672E+02   5.52248265833E-02
   2   3   6   7  10  11  14  16  17  19    5.46786439013E-01  -3.83348351763E+02   5.52126842873E-02
   1   3   6   8  10  12  13  15  17  20   -5.46582864936E-01  -3.83348519672E+02   5.52248265833E-02
   1   4   5   8   9  12  13  15  18  20   -5.46786439013E-01  -3.83348351763E+02   5.52126842873E-02
   2   3   5   7  10  12  13  16  18  19    5.46786438077E-01  -3.83348348674E+02   5.52125384241E-02
   2   3   5   7  10  11  14  15  18  20    5.46582862025E-01  -3.83348524148E+02   5.52248790127E-02
   1   4   6   8   9  11  14  15  17  20   -5.46786438077E-01  -3.83348348674E+02   5.52125384241E-02
   1   4   6   8   9  12  13  16  17  19   -5.46582862025E-01  -3.83348524148E+02   5.52248790127E-02
   2   4   5   7   9  12  13  16  18  19   -5.35754911576E-01  -3.83357544648E+02   5.65781553290E-02
   2   3   6   7  10  11  14  15  17  20   -5.35754908755E-01  -3.83357573310E+02   5.65759906794E-02
   1   3   6   8  10  11  14  15  17  20    5.35754911576E-01  -3.83357544648E+02   5.65781553290E-02
   1   4   5   8   9  12  13  16  18  19    5.35754908755E-01  -3.83357573310E+02   5.65759906794E-02
   2   3   4   5   7  11  14  16  18  19    4.73954053609E-01  -3.83351534755E+02   5.38374706384E-02
   2   3   7  10  11  14  16  17  18  19    4.73978544891E-01  -3.83351455747E+02   5.38331810737E-02
   2   3   5   7  10  11  14  18  19  20   -4.73954048047E-01  -3.83351536322E+02   5.38377074036E-02
   1   3   4   6   8  12  13  15  17  20    4.73954053609E-01  -3.83351534755E+02   5.38374706384E-02
   2   3   5   7  10  13  14  16  18  19    4.73978557490E-01  -3.83351451832E+02   5.38324320877E-02
   1   4   6   8   9  12  13  17  19  20   -4.73954048047E-01  -3.83351536322E+02   5.38377074036E-02
   1   4   6   8   9  13  14  15  17  20    4.73978557490E-01  -3.83351451832E+02   5.38324320877E-02
   1   4   8   9  12  13  15  17  18  20    4.73978544891E-01  -3.83351455747E+02   5.38331810737E-02
   2   3   5   6   7  10  11  14  16  19    4.69617829185E-01  -3.83349576682E+02   5.53719219274E-02
   1   4   5   6   8   9  12  13  15  20    4.69617829185E-01  -3.83349576682E+02   5.53719219274E-02
   2   5   7   9  10  11  14  16  18  19    4.69593518039E-01  -3.83349527037E+02   5.53748507564E-02
   2   3   5   7  10  11  12  16  18  19    4.69617815790E-01  -3.83349577455E+02   5.53720691438E-02
   2   3   5   7  10  11  14  15  16  18   -4.69593521187E-01  -3.83349529364E+02   5.53747207743E-02
   1   6   8   9  10  12  13  15  17  20    4.69593518039E-01  -3.83349527037E+02   5.53748507564E-02
   1   4   6   8   9  11  12  15  17  20    4.69617815790E-01  -3.83349577455E+02   5.53720691438E-02
   1   4   6   8   9  12  13  15  16  17   -4.69593521187E-01  -3.83349529364E+02   5.53747207743E-02
   2   3   4   5   7  10  11  16  18  19    3.64161589396E-01  -3.83352425186E+02   6.30007763684E-02
   1   3   4   6   8   9  12  15  17  20    3.64161589396E-01  -3.83352425186E+02   6.30007763684E-02
   2   3   5   7  10  11  14  16  19  20    3.64142751776E-01  -3.83352388423E+02   6.30035990996E-02
   1   4   6   8   9  12  13  15  19  20    3.64142751776E-01  -3.83352388423E+02   6.30035990996E-02
   2   3   5   7  10  11  14  16  17  18    3.64142743767E-01  -3.83352389908E+02   6.30028254135E-02
   1   4   6   8   9  12  13  15  17  18    3.64142743767E-01  -3.83352389908E+02   6.30028254135E-02
   2   5   7  10  11  13  14  16  18  19    3.64161575597E-01  -3.83352300802E+02   6.29978009286E-02
   1   6   8   9  12  13  14  15  17  20    3.64161575597E-01  -3.83352300802E+02   6.29978009286E-02
   1   2   3   5  10  11  14  16  18  19   -3.54122370047E-01  -3.83366078789E+02   7.79057229404E-02
   3   5   7   8  10  11  14  16  18  19   -3.54122367906E-01  -3.83366076346E+02   7.79065596484E-02
   1   2   4   6   9  12  13  15  17  20   -3.54122370047E-01  -3.83366078789E+02   7.79057229404E-02
   4   6   7   8   9  12  13  15  17  20   -3.54122367906E-01  -3.83366076346E+02   7.79065596484E-02
   4   6   8   9  11  12  13  15  17  20    3.51609115730E-01  -3.83358970425E+02   6.72586795782E-02
   1   4   6   9  12  13  15  16  17  20   -3.51609108630E-01  -3.83358972772E+02   6.72588382249E-02
   3   5   7  10  11  12  14  16  18  19    3.51609115730E-01  -3.83358970425E+02   6.72586795782E-02
   3   5   6   7  10  11  14  16  18  19   -3.51627304717E-01  -3.83359007867E+02   6.72557480288E-02
   2   3   5   9  10  11  14  16  18  19   -3.51609112758E-01  -3.83358973715E+02   6.72587000765E-02
   2   3   5  10  11  14  15  16  18  19   -3.51609108630E-01  -3.83358972772E+02   6.72588382249E-02
   4   5   6   8   9  12  13  15  17  20   -3.51627304717E-01  -3.83359007867E+02   6.72557480288E-02
   1   4   6   9  10  12  13  15  17  20   -3.51609112758E-01  -3.83358973715E+02   6.72587000765E-02
   1   4   6   7   8   9  12  13  17  20   -3.45368987911E-01  -3.83360039976E+02   6.18900504508E-02
   2   3   5   7   8  10  11  14  18  19   -3.45368987911E-01  -3.83360039976E+02   6.18900504508E-02
