 # List of wave function amplitudes [intermediate normalization].
 (Det. Index, FCI Amp., Trial Wfn. Amp., Occupation Numbers ...)

      1 -1.00000000000E+00 -1.00000000000E+00    1  3  6  7 10 12
      2  9.99999972689E-01  1.00000000000E+00    2  4  5  8  9 11
      3 -4.39728729417E-01 -4.40437192987E-01    2  3  5  8  9 12
      4 -4.39728729301E-01 -4.40437192812E-01    1  4  5  8 10 11
      5 -4.39728728302E-01 -4.40437191107E-01    2  4  5  7 10 11
      6 -4.39728728186E-01 -4.40437190881E-01    2  3  6  8  9 11
      7  4.39728695890E-01  4.40437192987E-01    1  4  6  7 10 11
      8  4.39728695774E-01  4.40437192812E-01    2  3  6  7  9 12
      9  4.39728694775E-01  4.40437191107E-01    1  3  6  8  9 12
     10  4.39728694659E-01  4.40437190881E-01    1  4  5  7 10 12
     11  4.39728342992E-01  4.39186556175E-01    2  3  5  7 10 12
     12  4.39728342876E-01  4.39186555931E-01    1  3  6  8 10 11
     13 -4.39728338588E-01 -4.39186556175E-01    1  4  6  8  9 11
     14 -4.39728338472E-01 -4.39186555931E-01    2  4  5  7  9 12
     15  4.23589148665E-01  4.22829900180E-01    1  2  3  6  7 12
     16  4.23589145387E-01  4.22829896663E-01    1  3  6  7  8 12
     17  4.23589142766E-01  4.22829900180E-01    1  2  4  5  8 11
     18  4.23589139486E-01  4.22829896663E-01    2  4  5  7  8 11
     19  4.23589137617E-01  4.22829890534E-01    1  6  7 10 11 12
     20  4.23589136019E-01  4.22829888976E-01    1  5  6  7 10 12
     21  4.23589131718E-01  4.22829890534E-01    2  5  8  9 11 12
     22  4.23589130119E-01  4.22829888976E-01    2  5  6  8  9 11
     23  4.23589057376E-01  4.22829746578E-01    2  3  4  5  8  9
     24  4.23589056360E-01  4.22829745446E-01    2  3  4  8  9 11
     25  4.23589049784E-01  4.22829746578E-01    1  3  4  6  7 10
     26  4.23589048769E-01  4.22829745446E-01    1  3  4  7 10 12
     27  4.23589047156E-01  4.22829737938E-01    2  4  5  9 10 11
     28  4.23589045977E-01  4.22829736621E-01    4  5  8  9 10 11
     29  4.23589039565E-01  4.22829737938E-01    1  3  6  9 10 12
     30  4.23589038386E-01  4.22829736621E-01    3  6  7  9 10 12
     31 -4.23588868724E-01 -4.22118830620E-01    1  2  3  7 10 12
     32 -4.23588866453E-01 -4.22118828420E-01    1  3  6 10 11 12
     33 -4.23588864228E-01 -4.22118827554E-01    1  3  6  7  8 10
     34 -4.23588862067E-01 -4.22118825547E-01    3  5  6  7 10 12
     35 -4.23588856819E-01 -4.22118830620E-01    1  2  4  8  9 11
     36 -4.23588854548E-01 -4.22118828420E-01    2  4  5  9 11 12
     37 -4.23588852323E-01 -4.22118827554E-01    2  4  5  7  8  9
     38 -4.23588850163E-01 -4.22118825547E-01    4  5  6  8  9 11
     39  3.47913862717E-01  3.49145016547E-01    1  2  3  4  7  8
     40  3.47913848878E-01  3.49145002845E-01    5  6  9 10 11 12
     41  2.80017728275E-01  2.81629029894E-01    1  2  3  7  8 12
     42 -2.80017727104E-01 -2.81629028883E-01    1  2  3  6  7  8
     43 -2.80017725511E-01 -2.81629029894E-01    1  2  4  7  8 11
     44  2.80017724339E-01  2.81629028883E-01    1  2  4  5  7  8
     45  2.80017724035E-01  2.81629025304E-01    1  5  6 10 11 12
     46 -2.80017721271E-01 -2.81629025304E-01    2  5  6  9 11 12
     47 -2.80017720392E-01 -2.81629022755E-01    5  6  7 10 11 12
     48  2.80017717627E-01  2.81629022755E-01    5  6  8  9 11 12
     49 -2.80017687312E-01 -2.80966566762E-01    1  2  3  4  7 12
     50 -2.80017685441E-01 -2.80966565070E-01    1  3  4  6  7  8
     51 -2.80017677397E-01 -2.80966557065E-01    1  6  9 10 11 12
     52  2.80017677244E-01  2.80966566762E-01    1  2  3  4  8 11
     53 -2.80017675383E-01 -2.80966555141E-01    5  6  7  9 10 12
     54  2.80017675374E-01  2.80966565070E-01    2  3  4  5  7  8
     55 -2.80017671154E-01 -2.81628928186E-01    1  2  3  4  7 10
     56  2.80017668898E-01  2.81628926950E-01    1  3  4  7  8 10
     57  2.80017667329E-01  2.80966557065E-01    2  5  9 10 11 12
     58  2.80017665315E-01  2.80966555141E-01    5  6  8  9 10 11
     59  2.80017664854E-01  2.81628922456E-01    3  5  6  9 10 12
     60  2.80017664443E-01  2.81628928186E-01    1  2  3  4  8  9
     61 -2.80017664298E-01 -2.81628921841E-01    3  6  9 10 11 12
     62 -2.80017662187E-01 -2.81628926950E-01    2  3  4  7  8  9
     63 -2.80017658143E-01 -2.81628922456E-01    4  5  6  9 10 11
     64  2.80017657587E-01  2.81628921841E-01    4  5  9 10 11 12
     65  2.70682428236E-01  2.70285165286E-01    1  4  5 10 11 12
     66  2.70682428197E-01  2.70285165446E-01    1  2  3  8  9 12
     67  2.70682425481E-01  2.70285163431E-01    4  5  6  7 10 11
     68  2.70682425262E-01  2.70285163371E-01    2  3  6  7  8  9
     69  2.70682420873E-01  2.70285165286E-01    2  3  6  9 11 12
     70  2.70682420834E-01  2.70285165446E-01    1  2  4  7 10 11
     71  2.70682418119E-01  2.70285163431E-01    3  5  6  8  9 12
     72  2.70682417900E-01  2.70285163371E-01    1  4  5  7  8 10
     73 -2.70682416966E-01 -2.71888664241E-01    1  2  4  5  7 12
     74 -2.70682415864E-01 -2.71888663487E-01    1  4  6  7  8 11
     75 -2.70682415742E-01 -2.71888664241E-01    1  2  3  6  8 11
     76 -2.70682414640E-01 -2.71888663487E-01    2  3  5  7  8 12
     77 -2.70682411532E-01 -2.71888659566E-01    1  6  8  9 11 12
     78 -2.70682411364E-01 -2.71888659682E-01    2  5  6  7  9 12
     79 -2.70682410309E-01 -2.71888659566E-01    2  5  7 10 11 12
     80 -2.70682410140E-01 -2.71888659682E-01    1  5  6  8 10 11
     81 -2.70682311157E-01 -2.76227329732E-01    1  3  4  8 10 11
     82 -2.70682310801E-01 -2.76227329141E-01    2  3  4  5  7 10
     83 -2.70682306929E-01 -2.76227326205E-01    2  3  5  9 10 12
     84 -2.70682305187E-01 -2.76227324052E-01    3  6  8  9 10 11
     85 -2.70682294340E-01 -2.76227329732E-01    2  3  4  7  9 12
     86 -2.70682293985E-01 -2.76227329141E-01    1  3  4  6  8  9
     87 -2.70682290111E-01 -2.76227326205E-01    1  4  6  9 10 11
     88 -2.70682288370E-01 -2.76227324052E-01    4  5  7  9 10 12
     89  2.03596236215E-01  2.04568971780E-01    1  2  6  7 11 12
