   1   3   6   7  10  12         0.100000E+01     -0.645561E+01      0.200682E-01
   2   4   5   8   9  11        -0.100000E+01     -0.645561E+01      0.200682E-01
   2   3   5   8   9  12         0.439371E+00     -0.645896E+01      0.454170E-01
   1   4   5   8  10  11         0.439371E+00     -0.645896E+01      0.454170E-01
   2   4   5   7  10  11         0.439371E+00     -0.645896E+01      0.454170E-01
   2   3   6   8   9  11         0.439371E+00     -0.645896E+01      0.454170E-01
   1   4   6   7  10  11        -0.439371E+00     -0.645896E+01      0.454170E-01
   2   3   6   7   9  12        -0.439371E+00     -0.645896E+01      0.454170E-01
   1   3   6   8   9  12        -0.439371E+00     -0.645896E+01      0.454170E-01
   1   4   5   7  10  12        -0.439371E+00     -0.645896E+01      0.454170E-01
   2   3   5   7  10  12        -0.438827E+00     -0.646035E+01      0.456104E-01
   1   3   6   8  10  11        -0.438827E+00     -0.646035E+01      0.456104E-01
   1   4   6   8   9  11         0.438827E+00     -0.646035E+01      0.456104E-01
   2   4   5   7   9  12         0.438827E+00     -0.646035E+01      0.456104E-01
   1   2   3   6   7  12        -0.422399E+00     -0.646112E+01      0.443203E-01
   1   3   6   7   8  12        -0.422399E+00     -0.646112E+01      0.443203E-01
   1   2   4   5   8  11        -0.422399E+00     -0.646112E+01      0.443203E-01
   2   4   5   7   8  11        -0.422399E+00     -0.646112E+01      0.443203E-01
   1   6   7  10  11  12        -0.422399E+00     -0.646112E+01      0.443203E-01
   1   5   6   7  10  12        -0.422399E+00     -0.646112E+01      0.443203E-01
   2   5   8   9  11  12        -0.422399E+00     -0.646112E+01      0.443203E-01
   2   5   6   8   9  11        -0.422399E+00     -0.646112E+01      0.443203E-01
   2   3   4   5   8   9        -0.422399E+00     -0.646155E+01      0.441998E-01
   2   3   4   8   9  11        -0.422399E+00     -0.646155E+01      0.441998E-01
   1   3   4   6   7  10        -0.422399E+00     -0.646155E+01      0.441998E-01
   1   3   4   7  10  12        -0.422399E+00     -0.646155E+01      0.441998E-01
   2   4   5   9  10  11        -0.422399E+00     -0.646155E+01      0.441998E-01
   4   5   8   9  10  11        -0.422399E+00     -0.646155E+01      0.441998E-01
   1   3   6   9  10  12        -0.422399E+00     -0.646155E+01      0.441998E-01
   3   6   7   9  10  12        -0.422399E+00     -0.646155E+01      0.441998E-01
   1   2   3   7  10  12         0.422311E+00     -0.645845E+01      0.442639E-01
   1   3   6  10  11  12         0.422311E+00     -0.645845E+01      0.442639E-01
   1   3   6   7   8  10         0.422311E+00     -0.645845E+01      0.442639E-01
   3   5   6   7  10  12         0.422311E+00     -0.645845E+01      0.442639E-01
   1   2   4   8   9  11         0.422311E+00     -0.645845E+01      0.442639E-01
   2   4   5   9  11  12         0.422311E+00     -0.645845E+01      0.442639E-01
   2   4   5   7   8   9         0.422311E+00     -0.645845E+01      0.442639E-01
   4   5   6   8   9  11         0.422311E+00     -0.645845E+01      0.442639E-01
   1   2   3   4   7   8        -0.350217E+00     -0.645629E+01      0.384216E-01
   5   6   9  10  11  12        -0.350217E+00     -0.645629E+01      0.384216E-01
   1   2   3   7   8  12        -0.281784E+00     -0.645433E+01      0.584276E-01
   1   2   3   6   7   8         0.281784E+00     -0.645433E+01      0.584276E-01
   1   2   4   7   8  11         0.281784E+00     -0.645433E+01      0.584276E-01
   1   2   4   5   7   8        -0.281784E+00     -0.645433E+01      0.584276E-01
   1   5   6  10  11  12        -0.281784E+00     -0.645433E+01      0.584276E-01
   2   5   6   9  11  12         0.281784E+00     -0.645433E+01      0.584276E-01
   5   6   7  10  11  12         0.281784E+00     -0.645433E+01      0.584276E-01
   5   6   8   9  11  12        -0.281784E+00     -0.645433E+01      0.584276E-01
   1   2   3   4   7  12         0.280800E+00     -0.645421E+01      0.585456E-01
   1   3   4   6   7   8         0.280800E+00     -0.645421E+01      0.585456E-01
   1   6   9  10  11  12         0.280800E+00     -0.645421E+01      0.585456E-01
   1   2   3   4   8  11        -0.280800E+00     -0.645421E+01      0.585456E-01
   5   6   7   9  10  12         0.280800E+00     -0.645421E+01      0.585456E-01
   2   3   4   5   7   8        -0.280800E+00     -0.645421E+01      0.585456E-01
   1   2   3   4   7  10         0.281784E+00     -0.645618E+01      0.580205E-01
   1   3   4   7   8  10        -0.281784E+00     -0.645618E+01      0.580205E-01
   2   5   9  10  11  12        -0.280800E+00     -0.645421E+01      0.585456E-01
   5   6   8   9  10  11        -0.280800E+00     -0.645421E+01      0.585456E-01
   3   5   6   9  10  12        -0.281784E+00     -0.645618E+01      0.580205E-01
   1   2   3   4   8   9        -0.281784E+00     -0.645618E+01      0.580205E-01
   3   6   9  10  11  12         0.281784E+00     -0.645618E+01      0.580205E-01
   2   3   4   7   8   9         0.281784E+00     -0.645618E+01      0.580205E-01
   4   5   6   9  10  11         0.281784E+00     -0.645618E+01      0.580205E-01
   4   5   9  10  11  12        -0.281784E+00     -0.645618E+01      0.580205E-01
   1   4   5  10  11  12        -0.270222E+00     -0.646039E+01      0.617728E-01
   1   2   3   8   9  12        -0.270222E+00     -0.646039E+01      0.617728E-01
   4   5   6   7  10  11        -0.270222E+00     -0.646039E+01      0.617728E-01
   2   3   6   7   8   9        -0.270222E+00     -0.646039E+01      0.617728E-01
   2   3   6   9  11  12        -0.270222E+00     -0.646039E+01      0.617728E-01
   1   2   4   7  10  11        -0.270222E+00     -0.646039E+01      0.617728E-01
   3   5   6   8   9  12        -0.270222E+00     -0.646039E+01      0.617728E-01
   1   4   5   7   8  10        -0.270222E+00     -0.646039E+01      0.617728E-01
   1   2   4   5   7  12         0.271364E+00     -0.645529E+01      0.615128E-01
   1   4   6   7   8  11         0.271364E+00     -0.645529E+01      0.615128E-01
   1   2   3   6   8  11         0.271364E+00     -0.645529E+01      0.615128E-01
   2   3   5   7   8  12         0.271364E+00     -0.645529E+01      0.615128E-01
   1   6   8   9  11  12         0.271364E+00     -0.645529E+01      0.615128E-01
