TERM-2
  1 7.685403203039220
  2 7.176944824664400
  3 7.176944824664400
  4 7.847589917085530
  5 7.771897086461710
  6 7.685403203039220
  7 7.847589917085530
  8 7.771897086461710
  9 7.685403203039220
  10 7.771897086461710
  11 7.685403203039220
  12 7.176944824664400
  13 7.176944824664400
  14 7.771897086461710
TERM-02
  1 2 -.1433497523996030
  1 3 -.5946380310201620
  1 4 -1.065498171998360
  1 5 -2.911282106387130
  1 6 -.6663776623407440
  1 7 -.7892899715393490
  1 8 -2.544623147829910
  1 9 -.9627110465986600
  1 10 -2.959295546886580
  1 11 -1.065279716217410
  1 12 -.5814915185099579
  1 13 -.3396055155409561E-01
  1 14 -2.291607905025760
  2 1 -.1430758358254720
  2 4 -.5102025880399550
  2 5 -2.394077962779460
  2 6 -.2780347150395169E-01
  2 7 -.5571876142272000
  2 8 -1.292310167059700
  2 9 -.5950166249211480
  2 10 -2.387951929755860
  2 11 -.5795662225260260
  2 12 .2666310413325962E-03
  2 13 1.133039638667720
  2 14 -1.574037353627900
  3 1 -.5950166249211480
  3 4 -.5102025880399550
  3 5 -1.574037353627900
  3 6 -.5795662225260260
  3 7 -.5571876142272000
  3 8 -2.387951929755860
  3 9 -.1430758358254720
  3 10 -1.292310167059700
  3 11 -.2780347150395169E-01
  3 12 1.133039638667720
  3 13 .2666310413325962E-03
  3 14 -2.394077962779460
  4 1 -1.069626777917890
  4 2 -.5131306846319520
  4 3 -.5131306846319520
  4 5 -2.951068176147420
  4 6 -.7845843891443370
  4 7 -1.222597838141450
  4 8 -2.763014109919770
  4 9 -1.069626777917890
  4 10 -2.763014109919770
  4 11 -.7845843891443370
  4 12 -.5603559786981870
  4 13 -.5603559786981870
  4 14 -2.951068176147420
  5 1 -2.912452513607760
  5 2 -2.395546724600290
  5 3 -1.577901067368070
  5 4 -2.950812106914390
  5 6 -2.958752771052560
  5 7 -2.757205596563940
  5 8 -4.784200369438800
  5 9 -2.283242293731660
  5 10 -4.168490528767990
  5 11 -2.545768374354810
  5 12 -1.244658601119310
  5 13 -2.389566068877650
  5 14 -4.754897780187470
  6 1 -.6663776623407440
  6 2 -.3396055155409561E-01
  6 3 -.5814915185099579
  6 4 -.7892899715393490
  6 5 -2.959295546886580
  6 7 -1.065498171998360
  6 8 -2.291607905025760
  6 9 -1.065279716217410
  6 10 -2.911589552093960
  6 11 -.9627110465986600
  6 12 -.5946380310201620
  6 13 -.1433497523996030
  6 14 -2.544623147829910
  7 1 -.7845843891443370
  7 2 -.5603559786981870
  7 3 -.5603559786981870
  7 4 -1.222597838141450
  7 5 -2.763014109919770
  7 6 -1.069626777917890
  7 8 -2.951068176147420
  7 9 -.7845843891443370
  7 10 -2.951068176147420
  7 11 -1.069626777917890
  7 12 -.5126158790856350
  7 13 -.5126158790856350
  7 14 -2.763014109919770
  8 1 -2.545768374354810
  8 2 -1.244658601119310
  8 3 -2.389566068877650
  8 4 -2.757205596563940
  8 5 -4.784200369438800
  8 6 -2.283242293731660
  8 7 -2.950812106914390
  8 9 -2.958752771052560
  8 10 -4.754897780187470
  8 11 -2.910599657264520
  8 12 -2.395546724600290
  8 13 -1.577901067368070
  8 14 -4.168490528767990
  9 1 -.9627110465986600
  9 2 -.5946380310201620
  9 3 -.1433497523996030
  9 4 -1.065498171998360
  9 5 -2.291607905025760
  9 6 -1.065279716217410
  9 7 -.7892899715393490
  9 8 -2.959295546886580
  9 10 -2.544623147829910
  9 11 -.6663776623407440
  9 12 -.3396055155409561E-01
  9 13 -.5814915185099579
  9 14 -2.912026596648260
  10 1 -2.958752771052560
  10 2 -2.389566068877650
  10 3 -1.244658601119310
