-1.0000000000000000 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0.10821939706764901 1 2 3 4 5 6 7 8 9 10 11 12 15 16
0.66896807299602221E-001 1 2 3 4 5 6 7 8 9 10 13 14 17 18
-0.50898944496625680E-001 1 2 3 4 5 6 7 8 9 10 12 13 15 18
-0.50898944496625680E-001 1 2 3 4 5 6 7 8 9 10 11 14 16 17
0.18167866078675359E-001 1 2 3 4 5 6 7 8 9 10 11 13 16 18
0.18167866078675359E-001 1 2 3 4 5 6 7 8 9 10 12 14 15 17
0.25911884908291039E-001 1 2 3 4 5 6 7 8 11 12 13 14 19 20
0.35308308151790070E-001 1 2 3 4 5 6 7 8 10 11 12 13 15 20
0.35308308151790070E-001 1 2 3 4 5 6 7 8 9 11 12 14 16 19
0.18055063396877000E-001 1 2 3 4 5 6 8 9 10 11 12 13 15 22
0.18055063396877000E-001 1 2 3 4 5 6 7 9 10 11 12 14 16 21
-0.33065889554952259E-001 1 2 3 4 5 6 7 8 10 11 12 13 16 19
-0.33065889554952259E-001 1 2 3 4 5 6 7 8 9 11 12 14 15 20
-0.10265141040283110E-001 1 2 3 4 6 7 8 9 10 11 12 13 15 24
-0.10265141040283110E-001 1 2 3 4 5 7 8 9 10 11 12 14 16 23
