TERM-SELF
#mode=discrete
#policy=dx
  1 1.1113270780770137
  2 1.1113270780770137
  3 1.1113270780770137
  4 1.1113270780770137
  5 1.1113270780770137
  6 1.1113270780770137
  7 1.1113270780770137
  8 1.1113270780770137
  9 1.1113270780770137
  10 1.1113270780770137
TERM-u0
  1 1 2 0.62888508906670998E-001
  1 1 3 0.84741435914167610E-002
  1 1 4 0.62888508906670998E-001
  1 1 5 0.84741435914167610E-002
  1 1 6 -0.43233739477693364E-001
  1 1 7 0.84741435914167610E-002
  1 1 8 0.62888508906670998E-001
  1 1 9 0.84741435914167610E-002
  1 1 10 0.62888508906670998E-001
  1 2 1 0.62888508906670998E-001
  1 2 3 0.62888508906670998E-001
  1 2 4 0.84741435914167610E-002
  1 2 5 0.62888508906670998E-001
  1 2 6 0.84741435914167610E-002
  1 2 7 -0.43233739477693364E-001
  1 2 8 0.84741435914167610E-002
  1 2 9 0.62888508906670998E-001
  1 2 10 0.84741435914167610E-002
  1 3 1 0.84741435914167610E-002
  1 3 2 0.62888508906670998E-001
  1 3 4 0.62888508906670998E-001
  1 3 5 0.84741435914167610E-002
  1 3 6 0.62888508906670998E-001
  1 3 7 0.84741435914167610E-002
  1 3 8 -0.43233739477693364E-001
  1 3 9 0.84741435914167610E-002
  1 3 10 0.62888508906670998E-001
  1 4 1 0.62888508906670998E-001
  1 4 2 0.84741435914167610E-002
  1 4 3 0.62888508906670998E-001
  1 4 5 0.62888508906670998E-001
  1 4 6 0.84741435914167610E-002
  1 4 7 0.62888508906670998E-001
  1 4 8 0.84741435914167610E-002
  1 4 9 -0.43233739477693364E-001
  1 4 10 0.84741435914167610E-002
  1 5 1 0.84741435914167610E-002
  1 5 2 0.62888508906670998E-001
  1 5 3 0.84741435914167610E-002
  1 5 4 0.62888508906670998E-001
  1 5 6 0.62888508906670998E-001
  1 5 7 0.84741435914167610E-002
  1 5 8 0.62888508906670998E-001
  1 5 9 0.84741435914167610E-002
  1 5 10 -0.43233739477693364E-001
  1 6 1 -0.43233739477693364E-001
  1 6 2 0.84741435914167610E-002
  1 6 3 0.62888508906670998E-001
  1 6 4 0.84741435914167610E-002
  1 6 5 0.62888508906670998E-001
  1 6 7 0.62888508906670998E-001
  1 6 8 0.84741435914167610E-002
  1 6 9 0.62888508906670998E-001
