0.98633999999999999 1 2 3 4 5 6 7 8 9 10
-0.10704529545000067E-001 1 2 3 4 5 6 9 10 13 14
-0.44915037503167540E-002 1 2 3 4 5 6 7 8 11 12
0.57367799947908209E-002 1 2 3 4 5 6 8 9 12 13
0.57367799947908209E-002 1 2 3 4 5 6 7 10 11 14
-0.35300642598886057E-002 1 2 3 4 5 6 8 10 11 13
-0.35300642598886057E-002 1 2 3 4 5 6 7 9 12 14
