   2   3   5   7  10  11  14  16  18  19   -1.00000000000E+00  -3.83348496077E+02   3.24374255519E-02
   1   4   6   8   9  12  13  15  17  20    1.00000000000E+00  -3.83348496077E+02   3.24374255519E-02
   2   4   5   7   9  11  14  16  18  19    5.45173775948E-01  -3.83350072427E+02   5.36630533102E-02
   2   3   6   7  10  11  14  16  17  19    5.45239528545E-01  -3.83350034495E+02   5.36586072038E-02
   1   3   6   8  10  12  13  15  17  20   -5.45173775948E-01  -3.83350072427E+02   5.36630533102E-02
   1   4   5   8   9  12  13  15  18  20   -5.45239528545E-01  -3.83350034495E+02   5.36586072038E-02
   2   3   5   7  10  12  13  16  18  19    5.45239527511E-01  -3.83350008902E+02   5.36578577660E-02
   2   3   5   7  10  11  14  15  18  20    5.45167460898E-01  -3.83350094033E+02   5.36627615924E-02
   1   4   6   8   9  11  14  15  17  20   -5.45239527511E-01  -3.83350008902E+02   5.36578577660E-02
   1   4   6   8   9  12  13  16  17  19   -5.45167460898E-01  -3.83350094033E+02   5.36627615924E-02
   2   4   5   7   9  12  13  16  18  19   -5.38967037580E-01  -3.83352205375E+02   5.47770702184E-02
   2   3   6   7  10  11  14  15  17  20   -5.38967035271E-01  -3.83352227010E+02   5.47766749907E-02
   1   3   6   8  10  11  14  15  17  20    5.38967037580E-01  -3.83352205375E+02   5.47770702184E-02
   1   4   5   8   9  12  13  16  18  19    5.38967035271E-01  -3.83352227010E+02   5.47766749907E-02
   2   3   4   5   7  11  14  16  18  19    4.73083525886E-01  -3.83349793142E+02   5.24017571104E-02
   2   3   7  10  11  14  16  17  18  19    4.73146834473E-01  -3.83349751456E+02   5.23988729573E-02
   2   3   5   7  10  11  14  18  19  20   -4.73083016638E-01  -3.83349795799E+02   5.24017692164E-02
   1   3   4   6   8  12  13  15  17  20    4.73083525886E-01  -3.83349793142E+02   5.24017571104E-02
   2   3   5   7  10  13  14  16  18  19    4.73123200209E-01  -3.83349764755E+02   5.23990511079E-02
   1   4   6   8   9  12  13  17  19  20   -4.73083016638E-01  -3.83349795799E+02   5.24017692164E-02
   1   4   6   8   9  13  14  15  17  20    4.73123200209E-01  -3.83349764755E+02   5.23990511079E-02
   1   4   8   9  12  13  15  17  18  20    4.73146834473E-01  -3.83349751456E+02   5.23988729573E-02
   2   3   5   6   7  10  11  14  16  19    4.69016133453E-01  -3.83347970296E+02   5.39611723241E-02
   1   4   5   6   8   9  12  13  15  20    4.69016133453E-01  -3.83347970296E+02   5.39611723241E-02
   2   5   7   9  10  11  14  16  18  19    4.68974691571E-01  -3.83348075993E+02   5.39664991918E-02
   2   3   5   7  10  11  12  16  18  19    4.69037028518E-01  -3.83347911897E+02   5.39617448438E-02
   2   3   5   7  10  11  14  15  16  18   -4.68974588608E-01  -3.83348080513E+02   5.39653056131E-02
   1   6   8   9  10  12  13  15  17  20    4.68974691571E-01  -3.83348075993E+02   5.39664991918E-02
   1   4   6   8   9  11  12  15  17  20    4.69037028518E-01  -3.83347911897E+02   5.39617448438E-02
   1   4   6   8   9  12  13  15  16  17   -4.68974588608E-01  -3.83348080513E+02   5.39653056131E-02
   2   3   4   5   7  10  11  16  18  19    3.64515593612E-01  -3.83351662896E+02   6.12779725510E-02
   1   3   4   6   8   9  12  15  17  20    3.64515593612E-01  -3.83351662896E+02   6.12779725510E-02
   2   3   5   7  10  11  14  16  19  20    3.64467337519E-01  -3.83351799215E+02   6.12838786055E-02
   1   4   6   8   9  12  13  15  19  20    3.64467337519E-01  -3.83351799215E+02   6.12838786055E-02
   2   3   5   7  10  11  14  16  17  18    3.64468207798E-01  -3.83351797550E+02   6.12827790901E-02
   1   4   6   8   9  12  13  15  17  18    3.64468207798E-01  -3.83351797550E+02   6.12827790901E-02
   2   5   7  10  11  13  14  16  18  19    3.64504653640E-01  -3.83351777055E+02   6.12787545064E-02
   1   6   8   9  12  13  14  15  17  20    3.64504653640E-01  -3.83351777055E+02   6.12787545064E-02
   1   2   3   5  10  11  14  16  18  19   -3.58993876334E-01  -3.83344187931E+02   7.48523790480E-02
   3   5   7   8  10  11  14  16  18  19   -3.58995410383E-01  -3.83344174726E+02   7.48545595503E-02
   1   2   4   6   9  12  13  15  17  20   -3.58993876334E-01  -3.83344187931E+02   7.48523790480E-02
   4   6   7   8   9  12  13  15  17  20   -3.58995410383E-01  -3.83344174726E+02   7.48545595503E-02
   4   6   8   9  11  12  13  15  17  20    3.53439952469E-01  -3.83351753564E+02   6.58436930500E-02
   1   4   6   9  12  13  15  16  17  20   -3.53420206990E-01  -3.83351833888E+02   6.58456599518E-02
   3   5   7  10  11  12  14  16  18  19    3.53439952469E-01  -3.83351753564E+02   6.58436930500E-02
   3   5   6   7  10  11  14  16  18  19   -3.53439852034E-01  -3.83351703837E+02   6.58404797586E-02
   2   3   5   9  10  11  14  16  18  19   -3.53416155465E-01  -3.83351844794E+02   6.58459587216E-02
   2   3   5  10  11  14  15  16  18  19   -3.53420206990E-01  -3.83351833888E+02   6.58456599518E-02
   4   5   6   8   9  12  13  15  17  20   -3.53439852034E-01  -3.83351703837E+02   6.58404797586E-02
   1   4   6   9  10  12  13  15  17  20   -3.53416155465E-01  -3.83351844794E+02   6.58459587216E-02
   1   4   6   7   8   9  12  13  17  20   -3.48013589295E-01  -3.83351238573E+02   6.00024147143E-02
   2   3   5   7   8  10  11  14  18  19   -3.48013589295E-01  -3.83351238573E+02   6.00024147143E-02
   1   2   4   6   8   9  13  15  17  20    3.48032859028E-01  -3.83351148339E+02   6.00014573946E-02
