   1   3   6   7  10  12         0.100000E+01     -0.645695E+01      0.204330E-01
   2   4   5   8   9  11        -0.100000E+01     -0.645695E+01      0.204330E-01
   2   3   5   8   9  12         0.441435E+00     -0.645975E+01      0.456468E-01
   1   4   5   8  10  11         0.441435E+00     -0.645975E+01      0.456468E-01
   2   4   5   7  10  11         0.441435E+00     -0.645975E+01      0.456468E-01
   2   3   6   8   9  11         0.441435E+00     -0.645975E+01      0.456468E-01
   1   4   6   7  10  11        -0.441435E+00     -0.645975E+01      0.456468E-01
   2   3   6   7   9  12        -0.441435E+00     -0.645975E+01      0.456468E-01
   1   3   6   8   9  12        -0.441435E+00     -0.645975E+01      0.456468E-01
   1   4   5   7  10  12        -0.441435E+00     -0.645975E+01      0.456468E-01
   2   3   5   7  10  12        -0.445187E+00     -0.645413E+01      0.447560E-01
   1   3   6   8  10  11        -0.445187E+00     -0.645413E+01      0.447560E-01
   1   4   6   8   9  11         0.445187E+00     -0.645413E+01      0.447560E-01
   2   4   5   7   9  12         0.445187E+00     -0.645413E+01      0.447560E-01
   1   2   3   6   7  12        -0.424570E+00     -0.645965E+01      0.445338E-01
   1   3   6   7   8  12        -0.424570E+00     -0.645965E+01      0.445338E-01
   1   2   4   5   8  11        -0.424570E+00     -0.645965E+01      0.445338E-01
   2   4   5   7   8  11        -0.424570E+00     -0.645965E+01      0.445338E-01
   1   6   7  10  11  12        -0.424570E+00     -0.645965E+01      0.445338E-01
   1   5   6   7  10  12        -0.424570E+00     -0.645965E+01      0.445338E-01
   2   5   8   9  11  12        -0.424570E+00     -0.645965E+01      0.445338E-01
   2   5   6   8   9  11        -0.424570E+00     -0.645965E+01      0.445338E-01
   2   3   4   5   8   9        -0.424569E+00     -0.646015E+01      0.442573E-01
   2   3   4   8   9  11        -0.424569E+00     -0.646015E+01      0.442573E-01
   1   3   4   6   7  10        -0.424569E+00     -0.646015E+01      0.442573E-01
   1   3   4   7  10  12        -0.424569E+00     -0.646015E+01      0.442573E-01
   2   4   5   9  10  11        -0.424569E+00     -0.646015E+01      0.442573E-01
   4   5   8   9  10  11        -0.424569E+00     -0.646015E+01      0.442573E-01
