   2   3   5   6   7   8   9  10  11  14   -1.00000000000E+00  -1.65601122922E+03   1.77203895667E-01
   1   4   5   6   7   8   9  10  12  13   -1.00000000000E+00  -1.65601122922E+03   1.77203895667E-01
   3   4   5   6   7   8   9  10  11  12    9.84627315801E-01  -1.65606233455E+03   1.68809195297E-01
   1   2   5   6   7   8   9  10  13  14    9.55286322372E-01  -1.65604999823E+03   2.02921779942E-01
   2   3   5   6   7   8   9  10  11  12   -7.11847274054E-01  -1.65603489679E+03   3.92041171991E-01
   1   4   5   6   7   8   9  10  11  12    7.11847274054E-01  -1.65603489679E+03   3.92041171991E-01
   1   3   4   5   6   7   8   9  10  12    7.05705152367E-01  -1.65602418320E+03   3.62077621242E-01
   2   3   4   5   6   7   8   9  10  11   -7.05705152367E-01  -1.65602418320E+03   3.62077621242E-01
   1   2   5   6   7   8   9  10  12  13   -6.99530190260E-01  -1.65603398582E+03   4.20249409005E-01
   1   2   5   6   7   8   9  10  11  14    6.99530190260E-01  -1.65603398582E+03   4.20249409005E-01
   1   2   4   5   6   7   8   9  10  13    6.94930861043E-01  -1.65602211098E+03   4.04256302398E-01
   1   2   3   5   6   7   8   9  10  14   -6.94930861043E-01  -1.65602211098E+03   4.04256302398E-01
   4   5   6   7   8   9  10  11  12  13    6.69403143336E-01  -1.65602929289E+03   3.77303804031E-01
   3   5   6   7   8   9  10  11  12  14   -6.69403143336E-01  -1.65602929289E+03   3.77303804031E-01
   2   5   6   7   8   9  10  11  13  14   -6.58151055763E-01  -1.65602846953E+03   3.63783912720E-01
   1   5   6   7   8   9  10  12  13  14    6.58151055763E-01  -1.65602846953E+03   3.63783912720E-01
   3   4   5   6   7   8   9  10  12  13   -6.53195852597E-01  -1.65601391588E+03   3.52646814279E-01
   3   4   5   6   7   8   9  10  11  14    6.53195852597E-01  -1.65601391588E+03   3.52646814279E-01
   2   3   5   6   7   8   9  10  13  14   -6.40251413933E-01  -1.65602523802E+03   3.70886368834E-01
   1   4   5   6   7   8   9  10  13  14    6.40251413933E-01  -1.65602523802E+03   3.70886368834E-01
   1   2   3   5   6   7   8   9  10  12   -5.06377254664E-01  -1.65602492387E+03   5.84722114585E-01
   1   2   4   5   6   7   8   9  10  11    5.06377254664E-01  -1.65602492387E+03   5.84722114585E-01
   1   3   5   6   7   8   9  10  12  14    5.05932077569E-01  -1.65600288494E+03   4.67465833033E-01
   2   4   5   6   7   8   9  10  11  13    5.05932077569E-01  -1.65600288494E+03   4.67465833033E-01
   1   4   5   6   7   8   9  10  11  14    4.96957888231E-01  -1.65599650206E+03   4.88720713995E-01
   2   3   5   6   7   8   9  10  12  13    4.96957888231E-01  -1.65599650206E+03   4.88720713995E-01
