TERM-SELF
  1 0.51717644827901665
  2 0.40678853721401514
  3 0.51717644827901665
  4 0.47656021096074469
  5 0.71423156410750188
  6 0.54574622590679833
  7 0.54574622590679833
  8 0.40678853721401514
  9 0.47656021096074469
  10 0.47656021096074469
  11 0.40678853721401514
  12 0.54574622590679833
  13 0.54574622590679833
  14 0.47656021096074469
  15 0.71423156410750188
  16 0.71423156410750188
  17 0.40678853721401514
  18 0.71423156410750188
TERM-u0
  1 1 2 0.61577403909101186E-001
  1 1 3 -0.18338604248502399E-002
  1 1 4 0.27385113923300373E-002
  1 1 5 -0.17938710551221881E-001
  1 1 6 0.43307733813519348E-002
  1 1 7 0.43307733813519348E-002
  1 1 8 -0.61577403909101186E-001
  1 1 9 0.27385113923300373E-002
  1 1 10 0.30643169021515641E-001
  1 1 11 0.30812836409870040E-001
  1 1 12 0.48671173863471598E-002
  1 1 13 0.48671173863471598E-002
  1 1 14 -0.30643169021515641E-001
  1 1 15 0.72623991360037925E-002
  1 1 16 -0.72623991360037925E-002
  1 1 17 -0.30812836409870040E-001
  1 1 18 -0.17938710551221881E-001
  1 2 1 0.61577403909101186E-001
  1 2 3 0.30812836409870040E-001
  1 2 4 0.60140092101480698E-002
  1 2 5 -0.16449091447094340E-001
  1 2 6 0.12041808418164325E-001
  1 2 7 -0.11913467893348054E-001
  1 2 8 -0.37633683274616171E-001
  1 2 9 -0.16338156157123092E-001
  1 2 10 -0.49050910049907838E-001
  1 2 11 -0.26738365680936824E-001
  1 2 12 -0.10707850603858485E-001
  1 2 13 0.45342809079531893E-001
  1 2 14 -0.45614897814340132E-003
  1 2 15 0.31145542522700424E-002
  1 2 16 0.19694098645982365E-001
  1 2 17 -0.20114633605969916E-001
  1 2 18 0.10945277389975671E-001
  1 3 1 -0.18338604248502399E-002
  1 3 2 0.30812836409870040E-001
  1 3 4 -0.30643169021515641E-001
  1 3 5 0.72623991360037925E-002
  1 3 6 -0.48671173863471598E-002
  1 3 7 -0.48671173863471598E-002
  1 3 8 -0.30812836409870040E-001
  1 3 9 -0.30643169021515641E-001
  1 3 10 -0.27385113923300373E-002
  1 3 11 0.61577403909101186E-001
  1 3 12 -0.43307733813519348E-002
  1 3 13 -0.43307733813519348E-002
  1 3 14 0.27385113923300373E-002
  1 3 15 -0.17938710551221881E-001
  1 3 16 0.17938710551221881E-001
  1 3 17 -0.61577403909101186E-001
  1 3 18 0.72623991360037925E-002
  1 4 1 0.27385113923300373E-002
  1 4 2 0.60140092101480698E-002
  1 4 3 -0.30643169021515641E-001
  1 4 5 0.20501992004836513E-002
  1 4 6 -0.68188364629746270E-001
  1 4 7 -0.23014629612964823E-002
  1 4 8 0.16338156157123092E-001
  1 4 9 -0.87053843551955890E-001
  1 4 10 -0.27280870477295150E-001
  1 4 11 -0.45614897814340132E-003
  1 4 12 -0.14907104004144535E-001
  1 4 13 0.13000153370589821E-001
  1 4 14 -0.80193976347805743E-001
  1 4 15 0.70383713341330510E-002
  1 4 16 -0.18333621293800705E-002
  1 4 17 -0.49050910049907838E-001
  1 4 18 0.25102657909731830E-002
  1 5 1 -0.17938710551221881E-001
  1 5 2 -0.16449091447094340E-001
  1 5 3 0.72623991360037925E-002
  1 5 4 0.20501992004836513E-002
  1 5 6 0.10162169475598941E-001
  1 5 7 -0.19099566172840298E-004
  1 5 8 -0.10945277389975671E-001
  1 5 9 0.25102657909731830E-002
  1 5 10 -0.18333621293800705E-002
  1 5 11 0.31145542522700424E-002
  1 5 12 0.53323472745568305E-001
  1 5 13 -0.22995492275279827E-002
  1 5 14 0.70383713341330510E-002
  1 5 15 -0.20003132814334229
  1 5 16 0.16197880493939915E-001
  1 5 17 0.19694098645982365E-001
  1 5 18 0.54006872296336198E-002
  1 6 1 0.43307733813519348E-002
  1 6 2 0.12041808418164325E-001
  1 6 3 -0.48671173863471598E-002
  1 6 4 -0.68188364629746270E-001
  1 6 5 0.10162169475598941E-001
  1 6 7 -0.13277551244301130E-002
  1 6 8 0.11913467893348054E-001
  1 6 9 -0.23014629612964823E-002
  1 6 10 0.13000153370589821E-001
  1 6 11 0.10707850603858485E-001
  1 6 12 0.43745167276366514E-001
  1 6 13 -0.18085303774358947E-003
  1 6 14 0.14907104004144535E-001
  1 6 15 -0.53323472745568305E-001
  1 6 16 -0.22995492275279827E-002
  1 6 17 0.45342809079531893E-001
  1 6 18 -0.19099566172840298E-004
  1 7 1 0.43307733813519348E-002
  1 7 2 -0.11913467893348054E-001
  1 7 3 -0.48671173863471598E-002
  1 7 4 -0.23014629612964823E-002
  1 7 5 -0.19099566172840298E-004
  1 7 6 -0.13277551244301130E-002
  1 7 8 -0.12041808418164325E-001
  1 7 9 -0.68188364629746270E-001
  1 7 10 -0.14907104004144535E-001
  1 7 11 -0.45342809079531893E-001
  1 7 12 -0.18085303774358947E-003
  1 7 13 0.43745167276366514E-001
  1 7 14 -0.13000153370589821E-001
  1 7 15 0.22995492275279827E-002
  1 7 16 0.53323472745568305E-001
  1 7 17 -0.10707850603858485E-001
  1 7 18 0.10162169475598941E-001
  1 8 1 -0.61577403909101186E-001
  1 8 2 -0.37633683274616171E-001
  1 8 3 -0.30812836409870040E-001
  1 8 4 0.16338156157123092E-001
  1 8 5 -0.10945277389975671E-001
  1 8 6 0.11913467893348054E-001
  1 8 7 -0.12041808418164325E-001
  1 8 9 -0.60140092101480698E-002
  1 8 10 -0.45614897814340132E-003
  1 8 11 -0.20114633605969916E-001
  1 8 12 -0.45342809079531893E-001
  1 8 13 0.10707850603858485E-001
  1 8 14 -0.49050910049907838E-001
  1 8 15 0.19694098645982365E-001
  1 8 16 0.31145542522700424E-002
  1 8 17 -0.26738365680936824E-001
  1 8 18 0.16449091447094340E-001
  1 9 1 0.27385113923300373E-002
  1 9 2 -0.16338156157123092E-001
  1 9 3 -0.30643169021515641E-001
  1 9 4 -0.87053843551955890E-001
  1 9 5 0.25102657909731830E-002
  1 9 6 -0.23014629612964823E-002
  1 9 7 -0.68188364629746270E-001
  1 9 8 -0.60140092101480698E-002
  1 9 10 0.80193976347805743E-001
  1 9 11 0.49050910049907838E-001
  1 9 12 0.13000153370589821E-001
  1 9 13 -0.14907104004144535E-001
  1 9 14 0.27280870477295150E-001
  1 9 15 0.18333621293800705E-002
  1 9 16 -0.70383713341330510E-002
  1 9 17 0.45614897814340132E-003
  1 9 18 0.20501992004836513E-002
  1 10 1 0.30643169021515641E-001
  1 10 2 -0.49050910049907838E-001
  1 10 3 -0.27385113923300373E-002
  1 10 4 -0.27280870477295150E-001
  1 10 5 -0.18333621293800705E-002
  1 10 6 0.13000153370589821E-001
  1 10 7 -0.14907104004144535E-001
  1 10 8 -0.45614897814340132E-003
  1 10 9 0.80193976347805743E-001
  1 10 11 0.16338156157123092E-001
  1 10 12 -0.23014629612964823E-002
  1 10 13 -0.68188364629746270E-001
  1 10 14 0.87053843551955890E-001
  1 10 15 -0.25102657909731830E-002
  1 10 16 0.20501992004836513E-002
  1 10 17 0.60140092101480698E-002
  1 10 18 -0.70383713341330510E-002
  1 11 1 0.30812836409870040E-001
  1 11 2 -0.26738365680936824E-001
  1 11 3 0.61577403909101186E-001
  1 11 4 -0.45614897814340132E-003
  1 11 5 0.31145542522700424E-002
  1 11 6 0.10707850603858485E-001
  1 11 7 -0.45342809079531893E-001
  1 11 8 -0.20114633605969916E-001
  1 11 9 0.49050910049907838E-001
  1 11 10 0.16338156157123092E-001
  1 11 12 -0.12041808418164325E-001
  1 11 13 0.11913467893348054E-001
  1 11 14 0.60140092101480698E-002
  1 11 15 -0.16449091447094340E-001
  1 11 16 -0.10945277389975671E-001
  1 11 17 -0.37633683274616171E-001
  1 11 18 -0.19694098645982365E-001
  1 12 1 0.48671173863471598E-002
  1 12 2 -0.10707850603858485E-001
  1 12 3 -0.43307733813519348E-002
  1 12 4 -0.14907104004144535E-001
  1 12 5 0.53323472745568305E-001
  1 12 6 0.43745167276366514E-001
  1 12 7 -0.18085303774358947E-003
  1 12 8 -0.45342809079531893E-001
  1 12 9 0.13000153370589821E-001
  1 12 10 -0.23014629612964823E-002
  1 12 11 -0.12041808418164325E-001
  1 12 13 -0.13277551244301130E-002
  1 12 14 0.68188364629746270E-001
  1 12 15 -0.10162169475598941E-001
  1 12 16 -0.19099566172840298E-004
  1 12 17 -0.11913467893348054E-001
  1 12 18 -0.22995492275279827E-002
  1 13 1 0.48671173863471598E-002
  1 13 2 0.45342809079531893E-001
  1 13 3 -0.43307733813519348E-002
  1 13 4 0.13000153370589821E-001
  1 13 5 -0.22995492275279827E-002
  1 13 6 -0.18085303774358947E-003
  1 13 7 0.43745167276366514E-001
  1 13 8 0.10707850603858485E-001
  1 13 9 -0.14907104004144535E-001
  1 13 10 -0.68188364629746270E-001
  1 13 11 0.11913467893348054E-001
  1 13 12 -0.13277551244301130E-002
  1 13 14 0.23014629612964823E-002
  1 13 15 0.19099566172840298E-004
  1 13 16 0.10162169475598941E-001
  1 13 17 0.12041808418164325E-001
  1 13 18 0.53323472745568305E-001
  1 14 1 -0.30643169021515641E-001
  1 14 2 -0.45614897814340132E-003
  1 14 3 0.27385113923300373E-002
  1 14 4 -0.80193976347805743E-001
  1 14 5 0.70383713341330510E-002
  1 14 6 0.14907104004144535E-001
