 1.00000000000E+00    2   3   5   7  10  11  14  16  18 19
-9.99999942442E-01    1   4   6   8   9  12  13  15  17 20
-5.45202789766E-01    2   4   5   7   9  11  14  16  18 19
-5.45202788925E-01    2   3   6   7  10  11  14  16  17 19
 5.45202746547E-01    1   3   6   8  10  12  13  15  17 20
 5.45202745706E-01    1   4   5   8   9  12  13  15  18 20
-5.45202720617E-01    2   3   5   7  10  12  13  16  18 19
-5.45202720376E-01    2   3   5   7  10  11  14  15  18 20
 5.45202688608E-01    1   4   6   8   9  11  14  15  17 20
 5.45202688367E-01    1   4   6   8   9  12  13  16  17 19
 5.40848221660E-01    2   4   5   7   9  12  13  16  18 19
 5.40848220129E-01    2   3   6   7  10  11  14  15  17 20
-5.40848212584E-01    1   3   6   8  10  11  14  15  17 20
-5.40848211053E-01    1   4   5   8   9  12  13  16  18 19
-4.73311586122E-01    2   3   4   5   7  11  14  16  18 19
-4.73311551397E-01    2   3   7  10  11  14  16  17  18 19
 4.73311550510E-01    2   3   5   7  10  11  14  18  19 20
-4.73311547471E-01    1   3   4   6   8  12  13  15  17 20
-4.73311543271E-01    2   3   5   7  10  13  14  16  18 19
 4.73311520702E-01    1   4   6   8   9  12  13  17  19 20
-4.73311513463E-01    1   4   6   8   9  13  14  15  17 20
-4.73311512746E-01    1   4   8   9  12  13  15  17  18 20
-4.68221505067E-01    2   3   5   6   7  10  11  14  16 19
-4.68221477650E-01    1   4   5   6   8   9  12  13  15 20
-4.68221472236E-01    2   5   7   9  10  11  14  16  18 19
-4.68221462721E-01    2   3   5   7  10  11  12  16  18 19
 4.68221456487E-01    2   3   5   7  10  11  14  15  16 18
-4.68221444818E-01    1   6   8   9  10  12  13  15  17 20
-4.68221429935E-01    1   4   6   8   9  11  12  15  17 20
 4.68221423701E-01    1   4   6   8   9  12  13  15  16 17
-3.66233599670E-01    2   3   4   5   7  10  11  16  18 19
-3.66233595008E-01    1   3   4   6   8   9  12  15  17 20
-3.66233594891E-01    2   3   5   7  10  11  14  16  19 20
-3.66233590949E-01    1   4   6   8   9  12  13  15  19 20
-3.66233589429E-01    2   3   5   7  10  11  14  16  17 18
-3.66233584768E-01    1   4   6   8   9  12  13  15  17 18
-3.66233584164E-01    2   5   7  10  11  13  14  16  18 19
-3.66233580223E-01    1   6   8   9  12  13  14  15  17 20
 3.57310042312E-01    1   2   3   5  10  11  14  16  18 19
 3.57310037102E-01    3   5   7   8  10  11  14  16  18 19
 3.57310021053E-01    1   2   4   6   9  12  13  15  17 20
 3.57310015843E-01    4   6   7   8   9  12  13  15  17 20
-3.55069017246E-01    4   6   8   9  11  12  13  15  17 20
 3.55069006884E-01    1   4   6   9  12  13  15  16  17 20
-3.55068998729E-01    3   5   7  10  11  12  14  16  18 19
 3.55068997072E-01    3   5   6   7  10  11  14  16  18 19
 3.55068993656E-01    2   3   5   9  10  11  14  16  18 19
 3.55068988368E-01    2   3   5  10  11  14  15  16  18 19
 3.55068971691E-01    4   5   6   8   9  12  13  15  17 20
 3.55068968275E-01    1   4   6   9  10  12  13  15  17 20
 3.49261893348E-01    1   4   6   7   8   9  12  13  17 20
 3.49261883790E-01    2   3   5   7   8  10  11  14  18 19
-3.49261880491E-01    1   2   4   6   8   9  13  15  17 20
-3.49261870932E-01    1   2   3   5   7  10  14  16  18 19
 3.49261859882E-01    2   3   5   7   8  11  14  16  18 19
 3.49261859297E-01    1   2   3   7  10  11  14  16  18 19
 3.49261835352E-01    1   4   6   7   8  12  13  15  17 20
 3.49261834768E-01    1   2   4   8   9  12  13  15  17 20
-3.41057507628E-01    2   3   6   7  10  11  14  17  19 20
 3.41057502826E-01    2   4   5   7   9  13  14  16  18 19
 3.41057496953E-01    2   3   4   5   7  12  13  16  18 19
-3.41057495391E-01    1   4   5   8   9  12  13  18  19 20
 3.41057490588E-01    1   3   6   8  10  13  14  15  17 20
 3.41057488123E-01    1   3   4   6   8  11  14  15  17 20
 3.41057471286E-01    2   3   7  10  11  14  15  17  18 20
 3.41057462457E-01    1   4   8   9  12  13  16  17  18 19
 3.37226264343E-01    2   4   5   7   9  11  12  16  18 19
-3.37226258373E-01    2   3   6   7  10  11  14  15  16 17
 3.37226249649E-01    1   3   6   8  10  11  12  15  17 20
 3.37226249309E-01    2   3   5   6   7  10  11  14  15 20
 3.37226244025E-01    1   4   5   6   8   9  12  13  16 19
-3.37226243678E-01    1   4   5   8   9  12  13  15  16 18
 3.37226225535E-01    2   5   7   9  10  12  13  16  18 19
 3.37226220251E-01    1   6   8   9  10  11  14  15  17 20
 3.36919486340E-01    1   2   4   5   9  12  13  16  18 19
 3.36919483836E-01    3   6   7   8  10  11  14  15  17 20
 3.36919479677E-01    1   2   3   6  10  11  14  15  17 20
 3.36919477173E-01    4   5   7   8   9  12  13  16  18 19
 3.20985152138E-01    1   4   6   8   9  12  13  15  18 19
 3.20985151987E-01    1   3   6   8   9  12  14  15  17 20
-3.20985131819E-01    2   3   5   7  10  11  14  16  17 20
-3.20985131667E-01    2   4   5   7  10  11  13  16  18 19
 3.11442005054E-01    2   3   5   6   7  10  11  14  19 20
 3.11442002693E-01    2   3   4   5   7  11  12  16  18 19
-3.11441994192E-01    1   4   5   6   8   9  12  13  19 20
 3.11441981562E-01    2   5   7   9  10  13  14  16  18 19
-3.11441980043E-01    1   3   4   6   8  11  12  15  17 20
 3.11441977575E-01    2   3   7  10  11  14  15  16  17 18
-3.11441970700E-01    1   6   8   9  10  13  14  15  17 20
-3.11441954925E-01    1   4   8   9  12  13  15  16  17 18
-2.92934042093E-01    1   4   6   8   9  11  14  16  17 19
 2.92934035308E-01    2   4   6   7   9  11  14  16  17 19
-2.92934003935E-01    1   3   5   8  10  12  13  15  18 20
 2.92933990684E-01    2   3   5   7  10  12  13  15  18 20
 2.92439405018E-01    2   4   6   7   9  12  13  15  17 20
-2.92439387786E-01    1   3   5   8  10  11  14  16  18 19
 2.88557583923E-01    1   4   6   7   9  12  13  16  17 20
 2.88557582958E-01    2   4   6   8   9  11  13  15  17 20
-2.88557499857E-01    2   3   5   8  10  11  14  15  18 19
-2.88557498893E-01    1   3   5   7  10  12  14  16  18 19
-2.88557494145E-01    1   3   6   7  10  11  14  16  18 19
-2.88557492780E-01    2   3   5   8   9  11  14  16  18 19
 2.88557474198E-01    2   4   5   8   9  12  13  15  17 20
 2.88557472833E-01    1   4   6   7  10  12  13  15  17 20
 2.80939282914E-01    1   3   6   8  10  11  14  16  17 19
 2.80939282187E-01    1   4   5   8   9  11  14  16  18 19
-2.80939269131E-01    2   4   5   7   9  12  13  15  18 20
-2.80939268404E-01    2   3   6   7  10  12  13  15  17 20
 2.80939251510E-01    1   3   5   8  10  11  14  15  18 20
 2.80939251091E-01    1   3   5   8  10  12  13  16  18 19
-2.80939230420E-01    2   4   6   7   9  12  13  16  17 19
-2.80939230001E-01    2   4   6   7   9  11  14  15  17 20
 2.74216125217E-01    2   4   5   7   9  11  14  15  18 20
 2.74216124882E-01    2   3   6   7  10  12  13  16  17 19
-2.74216103068E-01    1   3   6   8  10  12  13  16  17 19
-2.74216102733E-01    1   4   5   8   9  11  14  15  18 20
-2.61622264043E-01    4   5   6   7   8   9  12  13  19 20
-2.61622262841E-01    3   5   6   7   8  10  11  14  19 20
-2.61622261031E-01    3   4   5   7   8  11  12  16  18 19
-2.61622254742E-01    3   4   6   7   8  11  12  15  17 20
-2.61622245096E-01    1   2   6   9  10  13  14  15  17 20
-2.61622243895E-01    1   2   5   9  10  13  14  16  18 19
-2.61622243739E-01    1   2   3  10  11  14  15  16  17 18
-2.61622237451E-01    1   2   4   9  12  13  15  16  17 18
 2.57358871476E-01    2   3   4   6   7  11  14  16  17 19
 2.57358852376E-01    2   4   7   9  11  14  16  17  18 19
 2.57358851027E-01    1   3   4   5   8  12  13  15  18 20
-2.57358834387E-01    1   4   6   8   9  11  14  17  19 20
-2.57358833596E-01    2   3   5   7  10  12  13  18  19 20
 2.57358831927E-01    1   3   8  10  12  13  15  17  18 20
 2.57358829879E-01    1   4   6   8   9  13  14  16  17 19
 2.57358829087E-01    2   3   5   7  10  13  14  15  18 20
 2.55638359109E-01    2   4   5   6   7   9  11  14  16 19
 2.55638340238E-01    2   6   7   9  10  11  14  16  17 19
 2.55638336318E-01    1   3   5   6   8  10  12  13  15 20
 2.55638328980E-01    1   4   6   8   9  11  12  16  17 19
-2.55638325344E-01    1   4   6   8   9  11  14  15  16 17
 2.55638317447E-01    1   5   8   9  10  12  13  15  18 20
 2.55638317330E-01    2   3   5   7  10  11  12  15  18 20
-2.55638313694E-01    2   3   5   7  10  12  13  15  16 18
 2.52188170262E-01    1   3   6   8  10  11  14  17  19 20
-2.52188165029E-01    1   4   5   8   9  13  14  16  18 19
 2.52188164609E-01    2   4   5   7   9  12  13  18  19 20
-2.52188164065E-01    1   3   4   5   8  12  13  16  18 19
-2.52188159375E-01    2   3   6   7  10  13  14  15  17 20
-2.52188150985E-01    2   3   4   6   7  11  14  15  17 20
-2.52188145445E-01    1   3   8  10  11  14  15  17  18 20
-2.52188132365E-01    2   4   7   9  12  13  16  17  18 19
-2.51353431565E-01    1   3   5   6   8  10  11  14  15 20
-2.51353431048E-01    1   4   5   8   9  11  12  16  18 19
 2.51353427976E-01    1   3   6   8  10  11  14  15  16 17
-2.51353423512E-01    2   3   6   7  10  11  12  15  17 20
 2.51353420440E-01    2   4   5   7   9  12  13  15  16 18
-2.51353418993E-01    2   4   5   6   7   9  12  13  16 19
-2.51353412446E-01    1   5   8   9  10  12  13  16  18 19
-2.51353399874E-01    2   6   7   9  10  11  14  15  17 20
 2.49316777473E-01    2   3   4   5   7  11  14  15  18 20
-2.49316777384E-01    2   4   5   7   9  11  14  18  19 20
 2.49316772856E-01    2   3   6   7  10  13  14  16  17 19
-2.49316767175E-01    1   3   6   8  10  12  13  17  19 20
 2.49316762647E-01    1   4   5   8   9  13  14  15  18 20
 2.49316759035E-01    2   3   7  10  12  13  16  17  18 19
 2.49316752895E-01    1   3   4   6   8  12  13  16  17 19
 2.49316734457E-01    1   4   8   9  11  14  15  17  18 20
 2.47746883587E-01    2   3   6   7  10  11  12  16  17 19
-2.47746880447E-01    2   4   5   7   9  11  14  15  16 18
 2.47746869312E-01    2   3   5   6   7  10  12  13  16 19
 2.47746863546E-01    1   4   5   8   9  11  12  15  18 20
-2.47746860407E-01    1   3   6   8  10  12  13  15  16 17
 2.47746851668E-01    2   5   7   9  10  11  14  15  18 20
 2.47746851349E-01    1   4   5   6   8   9  11  14  15 20
 2.47746833705E-01    1   6   8   9  10  12  13  16  17 19
-2.46558692296E-01    1   2   4   5   9  11  14  16  18 19
-2.46558690289E-01    3   6   7   8  10  11  14  16  17 19
-2.46558683264E-01    1   2   3   6  10  12  13  15  17 20
-2.46558681257E-01    4   5   7   8   9  12  13  15  18 20
-2.46558670880E-01    1   2   3   5  10  11  14  15  18 20
