 # List of spurious nodes in the trial wave function.
 # (Det. Index, FCI Amp., Trial Wfn. Amp., Occupation Numbers ...)

    296 -5.38382438260E-03  3.44792369147E-55    1  2  4  5  7  8 10 11 12 13
    297 -5.38382438260E-03  3.44792369147E-55    1  2  3  6  7  8  9 11 12 14
    298  5.35288120755E-03  8.03883580321E-63    1  2  3  4  5  6  7 10 11 14
    299  5.35288120755E-03  8.03883580321E-63    1  2  3  4  5  6  8  9 12 13
    300 -5.32691315364E-03  2.67384544919E-61    2  3  4  5  6  7  9 12 13 14
    301 -5.32691315364E-03  2.67384544919E-61    1  3  4  5  6  8 10 11 13 14
    306 -4.53112316862E-03  3.45705181685E-55    1  2  3  6  7  8  9 12 13 14
    307 -4.53112316862E-03  3.45705181685E-55    1  2  4  5  7  8 10 11 13 14
    308 -4.47183719295E-03 -5.89236877539E-63    1  2  3  4  6  9 11 12 13 14
    309  4.47183719295E-03  5.89236877539E-63    1  2  3  4  5 10 11 12 13 14
    310 -4.44878353873E-03  3.43323403815E-55    1  2  5  6  8  9 11 12 13 14
    311  4.44878353873E-03 -3.43323403815E-55    1  2  5  6  7 10 11 12 13 14
    312  4.12979164545E-03 -5.42144365078E-55    1  3  4  6  7  8  9 12 13 14
    313  4.12979164545E-03 -5.42144365078E-55    2  3  4  5  7  8 10 11 13 14
    314 -3.99281372993E-03  4.98471085560E-55    1  4  5  6  7 10 11 12 13 14
    315 -3.99281372993E-03  4.98471085560E-55    2  3  5  6  8  9 11 12 13 14
    318  3.63944047132E-03 -7.84164425985E-55    3  4  5  6  8  9 11 12 13 14
    319 -3.63944047132E-03  7.84164425985E-55    3  4  5  6  7 10 11 12 13 14
    320  3.62373886092E-03 -5.85137156655E-55    1  3  4  6  7  8  9 11 12 14
    321  3.62373886092E-03 -5.85137156655E-55    2  3  4  5  7  8 10 11 12 13
    322 -3.56998065732E-03 -1.91994730874E-63    1  2  3  5  6  7 10 11 12 14
    323 -3.56998065732E-03 -1.91994730874E-63    1  2  4  5  6  8  9 11 12 13
    326 -3.44209748337E-03 -3.42390787397E-62    1  2  3  4  5  7  8 10 11 12
    327  3.44209748337E-03  3.42390787397E-62    1  2  3  4  6  7  8  9 11 12
    328  3.42373699838E-03 -1.17959550465-115    1  2  3  4  5  8 10 11 12 13
    329  3.42373699838E-03 -1.17959550465-115    1  2  3  4  6  7  9 11 12 14
    332 -3.29636948800E-03 -2.45739100674-116    1  2  3  4  6  8  9 11 12 13
    333 -3.29636948800E-03 -2.45739100674-116    1  2  3  4  5  7 10 11 12 14
    336 -3.22844859664E-03  5.38159313106-108    1  2  3  4  5  7 10 12 13 14
    337 -3.22844859664E-03  5.38159313106-108    1  2  3  4  6  8  9 11 13 14
    341  2.69789135632E-03 -1.12464409297-115    1  2  3  4  6  7  9 12 13 14
    342  2.69789135632E-03 -1.12464409297-115    1  2  3  4  5  8 10 11 13 14
    343 -2.67053963240E-03  4.82442723122E-55    2  3  5  6  7 10 11 12 13 14
    344 -2.67053963240E-03  4.82442723122E-55    1  4  5  6  8  9 11 12 13 14
    358  2.10039075360E-03  2.11779859626E-63    1  2  3  4  5  7  8 10 11 14
    359  2.10039075360E-03  2.11779859626E-63    1  2  3  4  6  7  8  9 12 13
    363 -1.86974790816E-03 -3.34207251288E-63    1  3  4  5  6  7 10 11 12 14
    364 -1.86974790816E-03 -3.34207251288E-63    2  3  4  5  6  8  9 11 12 13
    371 -1.43113935777E-03  3.26149304181E-12    2  3  4  5  6  7  8 11 13 14
    372  1.43113935777E-03 -3.26149304181E-12    1  3  4  5  6  7  8 12 13 14
    376  1.27712519251E-03 -9.05655091250E-55    1  2  4  6  7  8  9 11 13 14
    377  1.27712519251E-03 -9.05655091250E-55    1  2  3  5  7  8 10 12 13 14
    380 -1.21780990048E-03  1.04843783484E-54    1  3  4  5  7  8 10 12 13 14
    381 -1.21780990048E-03  1.04843783484E-54    2  3  4  6  7  8  9 11 13 14
    382 -1.20736082601E-03  7.12324911230E-55    2  3  4  5  6  8  9 11 13 14
