   2   3   5   6   7   8   9  10  11  14   -1.00000000000E+00  -1.65600273339E+03   1.79870395558E-01
   1   4   5   6   7   8   9  10  12  13   -1.00000000000E+00  -1.65600273339E+03   1.79870395558E-01
   3   4   5   6   7   8   9  10  11  12    9.92834274523E-01  -1.65603104853E+03   1.66840349378E-01
   1   2   5   6   7   8   9  10  13  14    9.52460519609E-01  -1.65605152197E+03   2.05217629195E-01
   2   3   5   6   7   8   9  10  11  12   -7.17751459207E-01  -1.65600047099E+03   3.88501691564E-01
   1   4   5   6   7   8   9  10  11  12    7.17751459207E-01  -1.65600047099E+03   3.88501691564E-01
   1   3   4   5   6   7   8   9  10  12    7.01637676559E-01  -1.65603130327E+03   3.64920681134E-01
   2   3   4   5   6   7   8   9  10  11   -7.01637676559E-01  -1.65603130327E+03   3.64920681134E-01
   1   2   5   6   7   8   9  10  12  13   -7.04989280438E-01  -1.65602439929E+03   3.97017602217E-01
   1   2   5   6   7   8   9  10  11  14    7.04989280438E-01  -1.65602439929E+03   3.97017602217E-01
   1   2   4   5   6   7   8   9  10  13    6.92065397966E-01  -1.65603616467E+03   3.84813964165E-01
   1   2   3   5   6   7   8   9  10  14   -6.92065397966E-01  -1.65603616467E+03   3.84813964165E-01
   4   5   6   7   8   9  10  11  12  13    6.74311148397E-01  -1.65600715778E+03   3.70031084688E-01
   3   5   6   7   8   9  10  11  12  14   -6.74311148397E-01  -1.65600715778E+03   3.70031084688E-01
   2   5   6   7   8   9  10  11  13  14   -6.56839654739E-01  -1.65602232205E+03   3.75827598208E-01
   1   5   6   7   8   9  10  12  13  14    6.56839654739E-01  -1.65602232205E+03   3.75827598208E-01
   3   4   5   6   7   8   9  10  12  13   -6.54644396822E-01  -1.65601732381E+03   3.49143660326E-01
   3   4   5   6   7   8   9  10  11  14    6.54644396822E-01  -1.65601732381E+03   3.49143660326E-01
   2   3   5   6   7   8   9  10  13  14   -6.40738989435E-01  -1.65600811200E+03   3.64214589600E-01
