# Value_____| CASSCF (orbs)______| HF (orbs)________     
  Co          0.980941             0.984254
  E[T]       -1655.9302813291592  -1655.9558231089284
  Efn        -1655.976573195636   -1655.987079877501 
  %Rec.       48.88                45.20
