   2   3   5   6   7   8   9  10  11  14   -1.00000000000E+00  -1.65606780430E+03   1.86867412002E-01
   1   4   5   6   7   8   9  10  12  13   -1.00000000000E+00  -1.65606780430E+03   1.86867412002E-01
   3   4   5   6   7   8   9  10  11  12    1.01442767785E+00  -1.65598775794E+03   2.03221815858E-01
   1   2   5   6   7   8   9  10  13  14    9.85777519516E-01  -1.65597926970E+03   1.86411290046E-01
   2   3   5   6   7   8   9  10  11  12   -7.41804000229E-01  -1.65592649278E+03   4.18224202345E-01
   1   4   5   6   7   8   9  10  11  12    7.41804000229E-01  -1.65592649278E+03   4.18224202345E-01
   1   3   4   5   6   7   8   9  10  12    7.32785384155E-01  -1.65593257837E+03   3.94263911078E-01
   2   3   4   5   6   7   8   9  10  11   -7.32785384155E-01  -1.65593257837E+03   3.94263911078E-01
   1   2   5   6   7   8   9  10  12  13   -7.31253707312E-01  -1.65592216079E+03   4.04816130533E-01
   1   2   5   6   7   8   9  10  11  14    7.31253707312E-01  -1.65592216079E+03   4.04816130533E-01
   1   2   4   5   6   7   8   9  10  13    7.22363358330E-01  -1.65591780646E+03   3.83865808365E-01
   1   2   3   5   6   7   8   9  10  14   -7.22363358330E-01  -1.65591780646E+03   3.83865808365E-01
   4   5   6   7   8   9  10  11  12  13    6.96572820107E-01  -1.65591011227E+03   3.53638470978E-01
   3   5   6   7   8   9  10  11  12  14   -6.96572820107E-01  -1.65591011227E+03   3.53638470978E-01
   2   5   6   7   8   9  10  11  13  14   -6.86665826768E-01  -1.65591796629E+03   3.39597552555E-01
   1   5   6   7   8   9  10  12  13  14    6.86665826768E-01  -1.65591796629E+03   3.39597552555E-01
   3   4   5   6   7   8   9  10  12  13   -6.79410324184E-01  -1.65590835601E+03   3.21980074995E-01
   3   4   5   6   7   8   9  10  11  14    6.79410324184E-01  -1.65590835601E+03   3.21980074995E-01
   2   3   5   6   7   8   9  10  13  14   -6.69747424108E-01  -1.65590260931E+03   3.14863759516E-01
   1   4   5   6   7   8   9  10  13  14    6.69747424108E-01  -1.65590260931E+03   3.14863759516E-01
   1   2   3   5   6   7   8   9  10  12   -5.35852028827E-01  -1.65585140518E+03   6.10941747023E-01
   1   2   4   5   6   7   8   9  10  11    5.35852028827E-01  -1.65585140518E+03   6.10941747023E-01
   1   3   5   6   7   8   9  10  12  14    5.03178681654E-01  -1.65607116309E+03   4.76215771914E-01
