TERM-SELF
  1 0.46730717885323236
  2 0.36805697503723267
  3 0.46730717885323236
  4 0.41953117189718775
  5 0.68127676431699213
  6 0.48533104288324663
  7 0.48533104288324663
  8 0.36805697503723267
  9 0.41953117189718775
  10 0.41953117189718775
  11 0.36805697503723267
  12 0.48533104288324663
  13 0.48533104288324663
  14 0.41953117189718775
  15 0.68127676431699213
  16 0.68127676431699213
  17 0.36805697503723267
  18 0.68127676431699213
TERM-u0
  1 1 2 0.64374770660328859E-001
  1 1 3 -0.12160406877096209E-001
  1 1 4 0.38854310865687391E-002
  1 1 5 -0.19560457853894892E-001
  1 1 6 0.55798129398633677E-002
  1 1 7 0.55798129398633677E-002
  1 1 8 -0.64374770660328859E-001
  1 1 9 0.38854310865687391E-002
  1 1 10 0.22698412744688055E-001
  1 1 11 0.34092611824131834E-001
  1 1 12 0.67871837333209322E-002
  1 1 13 0.67871837333209322E-002
  1 1 14 -0.22698412744688055E-001
  1 1 15 0.30172513303036450E-002
  1 1 16 -0.30172513303036450E-002
  1 1 17 -0.34092611824131834E-001
  1 1 18 -0.19560457853894892E-001
  1 2 1 0.64374770660328859E-001
  1 2 3 0.34092611824131834E-001
  1 2 4 0.52898197811737579E-002
  1 2 5 -0.15040171226332572E-001
  1 2 6 0.11939336631431874E-001
  1 2 7 -0.14566257647489415E-001
  1 2 8 -0.42006350050163427E-001
  1 2 9 -0.18274157580446294E-001
  1 2 10 -0.44098326658335359E-001
  1 2 11 -0.30774253044448825E-001
  1 2 12 -0.66939996999782767E-002
  1 2 13 0.52128046394900845E-001
  1 2 14 -0.27216932120408834E-002
  1 2 15 0.26884280126537210E-002
  1 2 16 0.19216968897154376E-001
  1 2 17 -0.18926016433971179E-001
  1 2 18 0.66122689132127868E-002
  1 3 1 -0.12160406877096209E-001
  1 3 2 0.34092611824131834E-001
  1 3 4 -0.22698412744688055E-001
  1 3 5 0.30172513303036450E-002
  1 3 6 -0.67871837333209322E-002
  1 3 7 -0.67871837333209322E-002
  1 3 8 -0.34092611824131834E-001
  1 3 9 -0.22698412744688055E-001
  1 3 10 -0.38854310865687391E-002
  1 3 11 0.64374770660328859E-001
  1 3 12 -0.55798129398633677E-002
  1 3 13 -0.55798129398633677E-002
  1 3 14 0.38854310865687391E-002
  1 3 15 -0.19560457853894892E-001
  1 3 16 0.19560457853894892E-001
  1 3 17 -0.64374770660328859E-001
  1 3 18 0.30172513303036450E-002
  1 4 1 0.38854310865687391E-002
  1 4 2 0.52898197811737579E-002
  1 4 3 -0.22698412744688055E-001
  1 4 5 0.10007811411852558E-003
  1 4 6 -0.70320207592880338E-001
  1 4 7 -0.61178604307899438E-003
  1 4 8 0.18274157580446294E-001
  1 4 9 -0.89673161950171262E-001
  1 4 10 -0.26579151851260349E-001
  1 4 11 -0.27216932120408834E-002
  1 4 12 -0.17689185021253068E-001
  1 4 13 0.13537682164220344E-001
  1 4 14 -0.86470664090105440E-001
  1 4 15 0.45961934248214360E-002
  1 4 16 -0.35632776561275196E-002
  1 4 17 -0.44098326658335359E-001
  1 4 18 0.34851097581346576E-002
  1 5 1 -0.19560457853894892E-001
  1 5 2 -0.15040171226332572E-001
  1 5 3 0.30172513303036450E-002
  1 5 4 0.10007811411852558E-003
  1 5 6 0.64695746012453544E-002
  1 5 7 -0.32843348375312296E-002
  1 5 8 -0.66122689132127868E-002
  1 5 9 0.34851097581346576E-002
  1 5 10 -0.35632776561275196E-002
  1 5 11 0.26884280126537210E-002
  1 5 12 0.50036831965209597E-001
  1 5 13 0.37646848060761198E-002
  1 5 14 0.45961934248214360E-002
  1 5 15 -0.19059060422455554
  1 5 16 0.13803934398076088E-001
  1 5 17 0.19216968897154376E-001
  1 5 18 0.93045420853804049E-002
  1 6 1 0.55798129398633677E-002
  1 6 2 0.11939336631431874E-001
  1 6 3 -0.67871837333209322E-002
  1 6 4 -0.70320207592880338E-001
  1 6 5 0.64695746012453544E-002
  1 6 7 0.64051951718963928E-002
