# system | Method | VMC_______________ | Var.__________________________________| %Ecorr._| FN-FCIQMC__________________________ | %Ecorr._| %Retrieved__
naphth.    HF      -5.35807757011E+02   1.262186298112E-01  1.673940187297E-04            -535.976177504442 2.495889836368e-05 
           SJ      -5.35985981673E+02   5.794541519520E-03  2.368540600226E-05            -535.992159481313 3.398724288342e-06
           SJ2     -5.35987818723E+02   5.075448076128E-03  3.501657231040E-05            -535.992847907222 3.455560680824e-06
           SJ3     -5.35988678308E+02   4.474580321403E-03  2.704350367270E-05            -535.993055789475 2.770422604975e-06
           SJ4     -5.35989388829E+02   4.204433778955E-03  7.764350906252E-05            -535.993275985800 2.755776274554e-06
           SJ5     -5.35989490659E+02   4.163844736514E-03  3.086666202100E-05            -535.993346550685 2.684433465172e-06
           SJ6     -5.35989601638E+02   4.062607547124E-03  2.884098556383E-05            -535.993344432874 3.019401892505e-06
           SJ10    -5.35990723652E+02   3.152309908025E-03  4.078656195488E-05            -535.993606297098 2.455299675126e-06
           SJB     -5.35992966214E+02   1.282826407108E-03  1.576597756957E-05            -535.994096561767 1.438874452893e-06
           SJB2    -5.35993546950E+02   1.005385056686E-03  1.258766587136E-05            -535.994373103780 1.121754910112e-06
           SJB3    -5.35993681180E+02   8.575322702831E-04  1.433288939080E-05            -535.994402922966 1.198242586219e-06
           SJB4    -5.35993839632E+02   7.584428498759E-04  9.410361682011E-06            -535.994501472838 1.170635329094e-06
           SJB5    -5.35994114457E+02   5.373472410704E-04  9.264387842784E-06            -535.994526562827 1.014437130795e-06
           SJB6    -5.35994116192E+02   5.475651527265E-04  1.678005676891E-05            -535.994522712994 7.889289482374e-07
           SJB10   -5.35994187031E+02   3.152309908025E-03  4.078656195488E-05            -535.994560937407 6.881851088014e-07
                                       
-- benchmark = -535.9946946841
